feature,tree_cover,grassland,cropland,built_up,bare_sparse,water,abs_mean
SAVI_mean_2020_spring,0.03683709,-0.033173658,0.009019107,-0.019521426,-1.3268151e-05,0.006859048,0.017570602
B04_q25_2021_summer,0.010872526,-0.035274345,0.028595567,-0.0054675248,0.0006986923,0.0005831449,0.013581966
B04_q75_2021_summer,0.010645765,-0.02289296,0.026283821,-0.016617129,9.0115514e-05,0.0024756861,0.013167579
TC_green_mean_2021_summer,-0.023361403,0.030692723,0.006579844,-0.0128151225,0.0011622764,-0.002260334,0.01281195
SAVI_q25_2020_spring,0.023878261,-0.021104146,0.008854943,-0.0157663,-4.1867803e-05,0.004176239,0.012303625
B04_q25_2021_autumn,0.015301561,-0.0208551,0.019434454,-0.015822507,0.0015425383,0.0003886757,0.012224139
NBR_mean_2021_autumn,0.020753643,-0.0038984702,0.00813944,-0.032075115,0.00162875,0.0054637133,0.0119931875
B04_mean_2021_summer,0.011428779,-0.027082715,0.021968514,-0.008401838,0.00026895432,0.001820592,0.011828565
B8A_median_2020_summer,0.00831508,-0.016108718,0.0262811,-0.018561773,-0.0006918497,0.0007661885,0.011787451
B12_q25_2021_spring,-0.0039690626,-0.019118289,0.034548555,-0.011866487,0.0007133883,-0.000308025,0.011753966
NBR_mean_2021_summer,0.008201383,-0.0051862337,0.018716598,-0.02958993,0.00036461544,0.0074993707,0.011593021
SAVI_q75_2020_spring,0.018911552,-0.023662828,0.010896695,-0.011002232,0.00090811355,0.003951476,0.011555483
SAVI_mean_2021_autumn,0.02013892,-0.01779068,0.011138268,-0.016423956,-0.00015843706,0.0030930792,0.011457223
B8A_q25_2020_summer,0.006601392,-0.012165619,0.02718097,-0.020992776,-0.0006477771,2.6020081e-05,0.011269092
SAVI_median_2020_spring,0.02226608,-0.022926457,0.008097388,-0.010531534,0.0009547747,0.0021350067,0.011151875
B02_q25_2021_autumn,0.019036144,-0.019230034,-0.011325221,0.013938872,-0.002015681,-0.00040530536,0.010991876
NDRE1_std_2021_summer,-0.011695424,0.0014521288,0.026258748,-0.019945007,-0.0012857349,0.005214681,0.010975287
B8A_mean_2020_summer,0.008133437,-0.014456803,0.024481563,-0.017916676,-0.00038193836,0.00014286299,0.010918881
NDWI_q25_2020_spring,0.008406373,-0.012090919,0.014159219,-0.0200517,0.00018412438,0.009391006,0.01071389
