feature,mean_abs_shap,shap_tree_cover,shap_grassland,shap_cropland,shap_built_up,shap_bare_sparse,shap_water
NDRE2_q25_2021_summer,0.02718471628985059,0.0008418400050387804,0.0008897059384907551,0.0022486930710417705,0.15903160773096203,3.181606755535523e-05,6.463492601482219e-05
CRI1_q75_2021_autumn,0.02170186201878717,0.12780300731411817,0.0014443631791823638,0.0006069355706799076,0.0003006059446041072,2.408284512166245e-05,3.217725901679575e-05
CRI1_q75_2020_autumn,0.010633548292287971,0.04764300638622379,0.0029664582894123174,0.012879247038639898,0.0002517904357546572,4.473371534821766e-05,1.6053888348947467e-05
TC_wet_mean_2020_autumn,0.010278073277855569,0.0068504983147847824,0.014380064657827901,0.03809867220038434,0.0022273900789581396,9.487960301950596e-05,1.6934812158737524e-05
CRI1_q25_2021_summer,0.008598627405318604,0.00038577861750592446,0.0010692786635745227,0.005036567227310719,0.04456218620233604,0.0004973974138357687,4.05563073486507e-05
CRI1_std_2020_autumn,0.006030002833010158,0.005122131327872228,0.0016100554979068694,0.028109535504147895,0.0012838198697930742,3.7145733467704024e-05,1.7329064873174577e-05
B05_q75_2021_summer,0.005679545097012659,0.0318343127694633,0.0010035204173671503,0.00036062663911147025,0.0008257752281375382,4.164403191081865e-05,1.1391496085668887e-05
TC_green_std_2021_summer,0.005417446801740088,0.00109049969812108,0.0008262286137315537,0.009641971641627604,0.020604843867723977,0.0002483364025501021,9.280058668621223e-05
CRI1_q75_2021_summer,0.004609002918614944,0.026418517888088782,0.000576982949236809,0.00042626677969471045,0.00018417522424086016,4.436830396129151e-05,3.7063664672086867e-06
CRI1_std_2021_summer,0.004536902848764652,0.009015753806362343,0.0004229473822411934,0.010543627343631876,0.007158762768154961,4.632170087842294e-05,3.400409131911748e-05
NDTI_q25_2021_spring,0.004519605392783969,0.0020461333386841266,0.0023936979892608423,0.011086534737129576,0.011532455119562413,3.9927060747889214e-05,1.8884111318966222e-05
IRECI_q75_2020_autumn,0.004382308720481351,0.0009098076408179204,0.0003279052847715492,0.00015237722585095164,0.024878836440237417,1.62306988526784e-05,8.695032357588508e-06
TC_wet_mean_2021_autumn,0.004296550543043134,0.001484714356426903,0.008465467827779244,0.015077659248481083,0.0006714998021700861,6.118265671055105e-05,1.8779366690937303e-05
NDTI_q25_2021_summer,0.004221034703188789,0.0003738172065281282,0.0013227754161765717,0.0003549303524255528,0.023108719504919842,0.00010105878264815731,6.490695643448072e-05
B05_q75_2021_autumn,0.004100171990744834,0.017549169518461964,0.0021615082961425423,0.0030478940154382204,0.0017909901452000945,3.895154716492802e-05,1.251842206125917e-05
B05_q25_2021_autumn,0.0033234834673543157,0.015913492104242862,0.0035431238644338375,0.00023343501591746943,0.000172892972412379,6.223028175701958e-05,1.5726565362326682e-05
TC_bright_mean_2020_spring,0.003276460838543102,0.008509575299187883,0.0006667359045226538,0.01004176805392722,0.00022833905260121829,0.00018074598657608307,3.160073444355183e-05
NDTI_q25_2020_spring,0.003185702495649496,0.00558791353998441,0.0011036415571122845,0.008746976630841978,0.0035702426893160517,7.348596742814545e-05,3.19545892141087e-05
TC_wet_mean_2021_summer,0.002965994213770816,0.0008965867989956417,0.00891750221601663,0.006196666162975175,0.0016532577625514365,7.36797559746843e-05,5.827258611132693e-05
NDTI_median_2021_summer,0.0026258820848129426,0.0010355249360763778,0.001775208402777792,0.0005765541754761007,0.01232217445709961,3.651483994808393e-05,9.315697499690807e-06
B8A_q75_2020_spring,0.0025889085861359904,0.0007814201216086615,0.014217051070664947,0.00014388509265760572,0.0003581675080086964,2.3527069018336778e-05,9.400654857693206e-06
B05_min_2020_autumn,0.002502906765422508,0.012626662933135155,0.0005454943418024613,0.0002898204471009077,0.0014747294301377632,5.432143125253245e-05,2.6412009106228244e-05
NDTI_mean_2021_spring,0.00243845737363147,0.005063368515736852,0.005712259589349405,0.0029165791608269987,0.0007256673145564375,0.00019913047673877644,1.3739184580351856e-05
NDRE2_q25_2020_spring,0.0022970985742012252,0.00038822393298109243,0.004091519106243356,0.00026209291229719304,0.008941404384158002,2.898191983261206e-05,7.036918969509487e-05
CRI1_median_2021_autumn,0.0022968490616446804,0.01215342707328376,0.0003536513921253456,0.0009161355563980945,0.00026443844320172817,5.6195709902371716e-05,3.7246194956780844e-05
NDRE2_std_2020_spring,0.0022164124986658847,0.0013450877919127878,0.0007441406284439937,0.0017186144886793527,0.008269190133999993,0.00030844646949212897,0.0009129954794670509
SAVI_q75_2020_autumn,0.0019482140906919379,0.0006492233747400165,0.0004911544386027744,0.00016253106847093364,0.010369292400703396,8.92547574378638e-06,8.157785890721176e-06
B06_q75_2021_spring,0.0019159013302955145,0.00012555107176924395,0.010938112810552172,0.00018273653765516073,0.0002222239932914349,1.9087764835614e-05,7.695803669463166e-06
TC_wet_mean_2020_summer,0.0018523011564608469,0.00042898089284677945,0.004602345467654073,0.005327633541712977,0.0005847326439103443,7.168228357308444e-05,9.84321090678239e-05
NDRE2_q75_2020_spring,0.0018504724482989107,0.0014974093804160855,0.0038366219144159077,0.0005756969660571146,0.005007267542235478,0.00011476361593149342,7.107527073738387e-05
B05_q25_2021_summer,0.0018229942025284934,0.007218693735238563,0.0022875519235639285,0.00016221666578586453,0.0012145451586805316,3.096806931592171e-05,2.398966258615129e-05
B8A_min_2020_summer,0.0018041329631302597,0.000665589543112304,0.0005529371792039443,0.0017547830723008816,0.0074664472729451085,1.215958222707828e-05,0.00037288112899224227
TC_green_mean_2021_summer,0.0017915242074197015,0.0004364685613638144,0.0008422929235598728,0.0024114287639979085,0.00678342104677758,0.0002692573712441176,6.276577574918142e-06
TC_wet_mean_2021_spring,0.0017586309018669999,0.0007446543712504337,0.002115076198282326,0.006406132554597345,0.0011632396227727062,6.566117067441047e-05,5.702149362477742e-05
B05_q75_2020_spring,0.0016174600553522723,0.002198039552635953,0.003826365892154983,0.0018235070140691137,0.0015975632990613766,0.0002407332245754706,1.855134961673495e-05
TC_wet_std_2020_autumn,0.001545381140427149,0.0031552868226544625,0.0011798470153249832,0.0021919604003098688,0.0025297430712723297,0.00012016743205038283,9.528210095086765e-05
B05_max_2021_autumn,0.001532999883627038,0.0008477912154414489,0.001629700293765273,0.005453762530614429,0.0007539493046948112,0.000413403551150894,9.939240609537192e-05
TC_wet_mean_2020_spring,0.0015274489232292552,0.0016208503446260732,0.004733822097525525,0.0013063427745589418,0.0010851267557989523,0.0003502325763851058,6.831899048093416e-05
NDVI_q75_2020_summer,0.0015172089822751485,0.008396032338525554,0.000330298979975777,8.947683798218033e-05,0.00018130488564492846,0.0001050313516755336,1.1094998469164587e-06
SAVI_q75_2021_autumn,0.0014832745762045681,0.00016380826581758999,0.000985637811312266,0.00019055051005712858,0.007299057565816202,0.0002605933042242226,0.0
TC_wet_std_2020_summer,0.0014674328650142161,0.0010623354345984215,0.0012724133848135474,0.005298913955443116,0.0007730460824770593,0.0002509401166870275,0.00014694821606612516
SAVI_median_2021_autumn,0.0014237683090684537,0.0004667435921595561,0.0008113782045508161,0.0002307441872206069,0.006815821639744435,0.00017198941927945227,4.593281145585578e-05
NDTI_q75_2021_spring,0.0014094241910496336,0.0016220892454383942,0.003924058999764451,0.0018593615902316456,0.0009976618253124314,4.524467899143814e-05,8.128806559442355e-06
NDVI_q25_2020_spring,0.0013956201696251596,0.0017820893170576483,0.00012514536857213696,0.0020432083363765554,0.0043658662887406845,5.134581100525462e-05,6.065895998678367e-06
B06_median_2021_summer,0.0013897487257737626,0.00025138310963209663,0.007409520017562275,0.00043702416585387804,0.00022361467093586643,7.594861883193585e-07,1.619090447013837e-05
NDRE1_q75_2020_summer,0.0013814881025225442,0.006301817358499893,0.00150130261682936,0.0001289400909252028,0.0003391383550048685,5.454110161427476e-06,1.2276083714513e-05
NDRE1_q25_2020_summer,0.001381403857847175,0.0073749431144042804,0.00035111473593014855,0.00025518752180017775,0.00027795343377237566,9.601589268754643e-06,1.962275190731227e-05
CRI1_q25_2020_spring,0.0013508413989191694,0.004997654193405749,0.0007731656021171117,0.0002049545549348091,0.0020172022218607165,8.017260692178588e-05,3.189921427484482e-05
B05_mean_2021_summer,0.001335937093170223,0.0070366215109709815,0.00010908423508542518,0.0005051150099946636,0.00016276780993479335,0.00017966675871701465,2.2367234318458457e-05
SAVI_q25_2021_summer,0.0013356599792406774,0.0018118713141467926,0.000461886747346587,0.0037360001880824773,0.0019195374347205048,5.8066535138544855e-05,2.6597656009157196e-05
B06_min_2020_summer,0.0013308806684012512,0.0004274804311009491,0.00037204189799075547,0.0054400050483359745,0.00048609008042181515,5.1315180466363796e-05,0.00120835137209165
NDTI_q75_2020_spring,0.0013167992888503113,0.002446267114047963,0.0012280497615974727,0.0008265910206370928,0.003234065279725693,9.989616094661611e-05,6.592639614703113e-05
NDRE2_std_2021_summer,0.001314856622937471,0.0004093869770245852,0.00015241015641249042,0.0010988919285103774,0.005813928831770978,4.5402534454759905e-05,0.0003691193094516343
NDRE2_q25_2021_spring,0.0013112259987099518,0.000399058396680981,0.000395679679404814,0.0004010902272361593,0.006303916937553627,0.000299539040788938,6.807171059519088e-05
NDRE2_median_2020_spring,0.0013106046450328224,0.001300010674864863,0.005607559853755768,0.00026541520530856894,0.0005728922836801475,5.0331512004931606e-05,6.741834058265681e-05
NDVI_q75_2020_spring,0.0012961746905585704,0.0058089958818711655,0.0007509779393422848,0.00012319789148112397,0.0009941458336854424,8.098606702842777e-05,1.8744529942979248e-05
NDTI_q75_2021_summer,0.00129508723470787,0.00031781434727982017,0.0008521110345350545,0.0005024125308022173,0.006027002533639144,6.160885234582539e-05,9.574109645159463e-06
B8A_std_2020_spring,0.0012926972419971346,0.0017092682177041005,0.005206788342612852,0.0003825775298040086,0.00023138840982296348,1.852281711443691e-05,0.00020763813492444708
B05_min_2021_summer,0.0012860761208827328,0.0016226205596705872,0.0009692656842364005,0.0005606961542307502,0.004436806234309605,0.00010805732972774585,1.9010763121307376e-05
NDTI_q25_2021_autumn,0.0012738455479113623,0.0005617597592241115,0.0042377766902884206,0.002210346613696052,0.0005326403115023828,8.747647523583113e-05,1.3073437521376566e-05
NDTI_q25_2020_summer,0.0012583782465279982,0.0007171471028939575,0.0035824816874723006,0.0027577575938977535,0.0003840701081149283,9.808415284159784e-05,1.072883394745053e-05
B05_q25_2021_spring,0.0012562271885793147,0.0022746012896636375,0.0009744758006360635,0.0007609711998285638,0.002709536078876638,0.00031043855519960635,0.0005073402072713787
B06_min_2020_spring,0.001247302594216391,0.000827139511639632,0.0003066802481615217,0.0018324334018344963,0.0008328715959633502,1.0633404417122742e-05,0.003674057403282223
CRI1_q25_2021_autumn,0.0012385261363762011,0.006488877471579155,0.0002838506925722336,0.00018150857790349804,0.00040873201216318135,4.4195174345548624e-05,2.399288969359079e-05
B06_mean_2021_summer,0.001228196034989953,0.0001114397762545923,0.006536742330444642,0.00012193886869170109,0.0005478898423310246,2.6128530145013326e-05,2.5036862072744077e-05
NDTI_median_2021_spring,0.0012251639787072294,0.0017537587502228973,0.0009613298839323508,0.0026561755847554014,0.0018041857435656145,0.0001554012381747661,2.0132671592347032e-05
B05_min_2021_autumn,0.0012159019559395833,0.0031567330162635588,0.0028649070245357756,0.0004630390001519826,0.0005862168511985074,6.793823277263562e-05,0.00015657761071503985
NDVI_median_2020_spring,0.001182244613669246,0.004278192497917248,0.001076766361785523,0.0011547433981202579,0.0005439076784877699,3.0641193379688266e-05,9.216552324988235e-06
NDRE1_q75_2021_summer,0.0011673639008780178,0.0038089490050017562,0.0022205845176036503,0.00019560033336112187,0.0006564370536475932,0.00012029407285030514,2.3184228036799734e-06
NDTI_median_2020_spring,0.0011595982156129348,0.004285023187111037,0.00031810726341765816,0.0013600177554041572,0.0008717621221806145,0.00011223308360221964,1.0445881961921258e-05
B05_median_2021_summer,0.0011569633710107692,0.0037758966791601144,0.0015975957660838017,0.0006581664948697449,0.0008550902353591477,4.701686585015774e-05,8.01418474164895e-06
B05_min_2020_spring,0.0011283578444958992,0.0015038418145997279,0.0014537161235979356,0.0011798248320278558,0.002213526870328816,0.000255518111957738,0.00016371931446332162
NDRE2_std_2020_autumn,0.0011264715363102135,0.0004938538739991846,0.0005738847145104504,0.0014802355404270892,0.0037695652503534865,7.135469508070211e-05,0.00036993514349036765
TC_bright_mean_2020_autumn,0.0011252825513498716,0.0007558073845267258,0.00018933458756159943,0.005596705467510603,0.00018020668905586068,1.4409979052416081e-05,1.5231200392024377e-05
NDVI_q75_2021_autumn,0.0011034136980210211,0.0004319987258206282,0.0018916408052044222,0.00035274985534388304,0.0038762185889714674,1.633270266521541e-05,5.154151012051166e-05
TC_green_std_2020_summer,0.001089226557580485,0.0023598367185596603,0.0007289632217051218,0.0024672965870027753,0.0009118843509101001,5.0159926912517795e-05,1.7218540392734023e-05
B8A_min_2021_summer,0.0010790653860552493,0.0002058441029148171,0.0003474312482345108,0.000577268004975756,0.005009277776841927,6.332904451685121e-05,0.0002712421388476337
NDRE1_q75_2020_autumn,0.0010749327731852107,0.0020452274040391855,0.0006617227563147719,8.247470270735934e-05,0.0036407527092546005,1.652337632469331e-05,2.8956904706529595e-06
IRECI_q75_2021_summer,0.0010478532123268222,0.001106741707281326,0.0004584338691241943,0.0005335072465599682,0.004156718359833518,2.619999238293781e-05,5.518098778988805e-06
CRI1_std_2020_spring,0.0010294751133786402,0.00033740620032559216,0.0005441765100607725,0.004363092691571027,0.0008061298615067093,5.920565671305431e-05,6.683976009468617e-05
B05_q25_2020_autumn,0.0009926079414869754,0.004075350401338254,0.0005722116014659958,0.00019629265879639166,0.0010831178597154878,2.1259780513101973e-05,7.415347092621826e-06
IRECI_mean_2021_summer,0.0009883953306824742,0.00035106882874252324,0.00015375655148352783,3.9539620838222956e-05,0.005306552261830004,7.06134787137136e-05,8.841242486853543e-06
NDRE2_std_2021_spring,0.000974785220397168,0.001063815689687951,0.0007153105084884003,0.00254551133026739,0.0010541175485948024,4.774701795607796e-05,0.00042220922738838546
IRECI_std_2021_autumn,0.0009700713206811404,0.000675154708314685,0.0006816024966014897,0.0006153643521052941,0.0038190115922417263,1.5232864182390328e-05,1.4061910641256863e-05
B05_median_2020_summer,0.0009686488593181435,0.004921350111992149,0.00024420989285212096,0.00032530224898294816,0.0002818051020028868,3.426974508512974e-05,4.9560549936262246e-06
NDVI_q25_2021_spring,0.0009622601828150633,0.003402701214478925,0.00019996562846858918,0.00036039312660586206,0.0017406524690022716,4.6556008836557604e-05,2.329264949817415e-05
B05_median_2021_autumn,0.0009567815793916997,0.0024928667809366255,0.0017322602128668379,0.0003306618812182357,0.001129228646840903,3.80896319353731e-05,1.7582322552223126e-05
NDRE2_q25_2021_autumn,0.0009530031754796145,0.00022727964815762457,0.0035068699258528316,0.0008456066353869455,0.0010550834194844277,2.708930228573221e-05,5.6090121710125844e-05
CRI1_q25_2020_summer,0.0009500653363535973,0.0002276883930674976,0.0008381031102337099,0.004155591988971276,0.0003362363167240473,0.00010870083983552369,3.407136928953003e-05
