fold,base,novel_added,group,n_base_features,n_novel_features,n_features,r2,mae,time
0,VegIdx+RedEdge+TC,none,VegIdx+RedEdge+TC (base),348,0,348,0.7939404877638596,3.1116000183986205,45.71640372276306
0,VegIdx+RedEdge+TC,NDTI,VegIdx+RedEdge+TC + NDTI,348,30,378,0.7981261742274509,3.083737081157305,47.305691957473755
0,VegIdx+RedEdge+TC,IRECI,VegIdx+RedEdge+TC + IRECI,348,30,378,0.7909323484433942,3.1047123597236643,42.885701417922974
0,VegIdx+RedEdge+TC,CRI1,VegIdx+RedEdge+TC + CRI1,348,30,378,0.8083133718494487,3.1225494268342464,47.95856833457947
0,VegIdx+RedEdge+TC,NDTI+IRECI,VegIdx+RedEdge+TC + NDTI+IRECI,348,60,408,0.7994632940541481,3.0684918442439004,46.766544342041016
0,VegIdx+RedEdge+TC,NDTI+CRI1,VegIdx+RedEdge+TC + NDTI+CRI1,348,60,408,0.8108277121025367,3.1023400554492526,49.78296208381653
0,VegIdx+RedEdge+TC,IRECI+CRI1,VegIdx+RedEdge+TC + IRECI+CRI1,348,60,408,0.8052939378343443,3.1090595431495953,48.54134511947632
0,VegIdx+RedEdge+TC,NDTI+IRECI+CRI1,VegIdx+RedEdge+TC + NDTI+IRECI+CRI1,348,90,438,0.8105416788914447,3.086169726142928,50.17369842529297
0,GLCM+Morph+VegIdx+RedEdge+TC,none,GLCM+Morph+VegIdx+RedEdge+TC (base),633,0,633,0.7875482565170103,3.0554665305119006,61.869908571243286
0,GLCM+Morph+VegIdx+RedEdge+TC,NDTI,GLCM+Morph+VegIdx+RedEdge+TC + NDTI,633,30,663,0.7947559113689477,3.0283857300694663,63.341662645339966
0,GLCM+Morph+VegIdx+RedEdge+TC,IRECI,GLCM+Morph+VegIdx+RedEdge+TC + IRECI,633,30,663,0.7884275987863703,3.0508056600780584,63.636775493621826
0,GLCM+Morph+VegIdx+RedEdge+TC,CRI1,GLCM+Morph+VegIdx+RedEdge+TC + CRI1,633,30,663,0.7973122169922818,3.10399389959497,60.81661653518677
