fold,group,n_features,r2,mae,time
0,GLCM,150,0.44860539178749265,7.410218395287985,18.54631471633911
0,Morph,135,0.5865718972655564,4.666575075464684,13.40583610534668
0,Gabor_s1,120,0.10646846802262848,13.446065975217692,11.346900224685669
0,GLCM+Morph,285,0.6351501306492053,4.035095716813037,42.45518469810486
0,GLCM+Morph+Gabor_s1,405,0.6471132035391232,3.9716110406798504,55.491565465927124
1,GLCM,150,0.32579433729223445,9.702549235368469,15.46006464958191
1,Morph,135,0.5846045991637369,6.042665580457616,13.877403974533081
1,Gabor_s1,120,0.1996501513454044,13.19687332767446,10.642871141433716
1,GLCM+Morph,285,0.6207866927394287,5.5000874041728185,42.62243676185608
1,GLCM+Morph+Gabor_s1,405,0.6144710919846351,5.442791669599237,50.364920139312744
2,GLCM,150,-0.20581055380741264,5.652996347981684,15.949349880218506
2,Morph,135,0.0687260214869429,3.725241898187127,13.641179084777832
2,Gabor_s1,120,-1.1327508166771605,12.132333533432043,11.195399045944214
2,GLCM+Morph,285,0.2022996227255057,3.1586479097624673,43.85680437088013
2,GLCM+Morph+Gabor_s1,405,0.2199431509218519,3.1297890279111598,52.62060594558716
3,GLCM,150,0.36090569683082513,9.609001988077663,14.560137510299683
3,Morph,135,0.2730546965456448,7.101981893263945,12.942473649978638
3,Gabor_s1,120,0.094995814071666,14.2966185195169,9.95731806755066
3,GLCM+Morph,285,0.3803637816547798,6.247812519439713,37.70847725868225
3,GLCM+Morph+Gabor_s1,405,0.3975923098032916,6.322234050722493,48.75338625907898
4,GLCM,150,-0.3505558860506964,4.720729313504114,16.021769762039185
4,Morph,135,0.17228092565702394,2.91836785450579,12.9681715965271
4,Gabor_s1,120,-1.4950738024236454,12.852462807071932,11.669126510620117
4,GLCM+Morph,285,0.34413927665331423,2.3082716635260474,41.84533905982971
4,GLCM+Morph+Gabor_s1,405,0.35933124908262126,2.28866017089992,56.44725966453552
