version,name,feature_set,r2_mean,r2_std,mae_mean,n_folds,n_features
V17,bi_LBP_plain_silu_L5_d1024_bn,bi_LBP,0.7972018917401632,0.04161028080384057,2.520539720232288,6,864
V13,bi_LBP_all5_plain_silu_L5_d1536_bn,bi_LBP_all5,0.7683563828468323,0.04377417193912984,2.631555926054716,5,1128
V13,bi_LBP_NIR_plain_silu_L5_d512_bn,bi_LBP_NIR,0.7677031993865967,0.036641643955727984,2.552525121718645,5,864
V9_texture,model,unknown,0.7667338797232,0.058033316209874536,2.2110694110756968,82,858
V13,bi_LBP_NIR_plain_silu_L3_d2048_bn,bi_LBP_NIR,0.7661127209663391,0.050892688666576216,2.566613219678402,5,864
V13,bi_LBP_NIR_plain_silu_L5_d1536_bn,bi_LBP_NIR,0.7650681018829346,0.0642092772705288,2.481121923774481,5,864
V12b,plain_silu_L7_d1024_bn,unknown,0.7641877174377442,0.02141217375000334,2.6037233881652355,5,1344
V13,bi_LBP_all5_plain_silu_L3_d1024_bn,bi_LBP_all5,0.7634789109230041,0.037839417689223775,2.648902852088213,5,1128
V12,bi_LBP_mLBP_plain_silu_L5_d1536_bn,bi_LBP_mLBP,0.7613052248954773,0.04332363272256113,2.5511638447642326,5,1344
V16,bi_LBP_NIR_plain_silu_L5_d1024_bn,bi_LBP_NIR,0.7606620788574219,0.0661043824743331,2.5675397738814354,5,864
V11,bi_Gab2_DMP_plain_silu_L5_d1024_bn,bi_Gab2_DMP,0.7581799507141114,0.06304523164139003,2.552657537162304,5,1566
V13,bi_LBP_all5_plain_silu_L5_d512_bn,bi_LBP_all5,0.758068072795868,0.05690314066072471,2.5949859991669655,5,1128
V12b,plain_silu_L7_d1536_bn,unknown,0.7544940948486328,0.07374068947948552,2.5710699521005154,5,1344
V13,bi_LBP_all5_plain_silu_L5_d2048_bn,bi_LBP_all5,0.7531724810600281,0.025773504349103072,2.632297817617655,5,1128
V13,bi_LBP_all5_residual_silu_L10_d512_bn_lr0.0005,bi_LBP_all5,0.7520501494407654,0.02271997762560354,2.774673718959093,5,1128
V14,bi_LBP_plain_silu_L5_d1024_bn,bi_LBP,0.752045750617981,0.041333031081296434,2.5408836267888546,5,864
V12b,residual_silu_L10_d512_bn_lr5e-4,unknown,0.7516568660736084,0.047992746889599674,2.74991886690259,5,1344
V12b,plain_silu_L5_d2048_bn,unknown,0.7511610388755798,0.05222063045237767,2.6202877424657345,5,1344
V13,bi_LBP_all5_plain_silu_L3_d2048_bn,bi_LBP_all5,0.7501756191253662,0.061915657133147194,2.6601477712392807,5,1128
