version,model_type,config,feature_set,r2_mean,r2_std,mae_mean,n_folds,n_features
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7488786227058666,0.04682102624339888,2.944969386252562,5,438
LGBM,LightGBM,strong_wide,VegIdx+RedEdge+TC+NDTI+CRI1,0.7448064053266855,0.049667765191119144,2.936682036863277,5,408
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7437632464050729,0.04758102998930951,2.985630324625567,5,438
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7433913438636812,0.03956191319523748,2.949890352192668,5,438
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7421933119738583,0.04747422483599818,2.971434905108562,5,438
LGBM,LightGBM,strong_conservative,VegIdx+RedEdge+TC+NDTI+CRI1,0.7418279865885203,0.039088290306884384,2.9362851633095883,5,408
LGBM,LightGBM,ss0.7,VegIdx+RedEdge+TC+NDTI+CRI1,0.7417802333758623,0.04541105280082328,2.9866852255288605,5,408
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.741591696306385,0.047689266279908486,3.009746092920854,5,438
LGBM,LightGBM,cs0.7,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7411989350965545,0.04779200629947778,2.9807205753660075,5,438
LGBM,LightGBM,reg10.0,VegIdx+RedEdge+TC+NDTI+CRI1,0.7410948896501456,0.04637836201606813,2.9925421837076107,5,408
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7400687188147513,0.04697256794731256,2.994606166280261,5,438
LGBM,LightGBM,cs0.5,VegIdx+RedEdge+TC+NDTI+CRI1,0.7394299103225744,0.05010321255058224,2.977328333641621,5,408
LGBM,LightGBM,mcs5,VegIdx+RedEdge+TC+NDTI+CRI1,0.7390815660354151,0.046195437808465925,2.995866507505167,5,408
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7388105245428088,0.05028896849851898,2.988796141718923,5,438
LGBM,LightGBM,strong_deep,VegIdx+RedEdge+TC+NDTI+CRI1,0.7385210564295648,0.049728908406062394,2.969498133338305,5,408
LGBM,LightGBM,strong_shallow,VegIdx+RedEdge+TC+NDTI+CRI1,0.7381500476692471,0.051163958547437785,3.018590869756925,5,408
LGBM,LightGBM,reg5.0,VegIdx+RedEdge+TC+NDTI+CRI1,0.7380918672943666,0.047963163885183104,2.9927635306575833,5,408
LGBM,LightGBM,n1000,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7379542424492996,0.05021719911816833,2.983991106789058,5,438
LGBM,LightGBM,n2000,VegIdx+RedEdge+TC+NDTI+CRI1,0.7377040998777981,0.050175917638144815,2.9915711599044346,5,408
LGBM,LightGBM,ss0.6,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,0.7376228557204103,0.049087913237874654,2.9841732336692486,5,438
