model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,fold,train_size,test_size,morans_i_mean,morans_i_tree_cover,morans_i_grassland,morans_i_cropland,morans_i_built_up,morans_i_bare_sparse,morans_i_water
ridge,0.5271416548969857,0.7059745539362046,5.208257454018117,11.572345977212779,4.938641241900703,0.7487170370363927,0.5802166187337687,0.539260887448506,0.7526840804171417,0.0022340312837227927,0.5397372744623015,10.714952562654153,5.4579050853870354,2.7595253509884254,11.59408582101597,0.24056104292703903,0.4825148611360748,100.0,100.0,100.0,1.0,1.2216589020011796e-16,0,19446,6100,0.18575,0.3285,0.0315,0.2727,0.3106,-0.0113,0.1825
ridge,0.43569062544577974,0.5953781561106398,7.272665111741321,15.237075749862782,6.087749811458559,0.6882497772294021,0.13073526858886464,0.5710912776072563,0.7634095311563466,-0.004282995245997734,0.46494089333871136,11.774453607687242,11.483559108205,9.898561598721363,9.47472192152726,0.1405821388140749,0.8641122954929737,100.0,100.0,100.0,1.0,1.283096362162273e-16,1,22036,6000,0.2326666666666667,0.1591,0.4043,0.5116,0.1573,0.1981,-0.0344
ridge,0.4508238436221144,0.7451153303079999,3.387718849819065,8.418503590259945,3.5729635289924806,0.7765298052995422,0.5785152465576601,0.11656981050580761,0.7635091238728171,0.00033437593014118416,0.46948469956696637,8.720901407502451,2.997245478565912,0.4714476277715909,7.685585293893503,0.26625230803345407,0.18488098314747925,100.0,100.0,100.0,1.0,1.3140014485046064e-16,2,22000,5866,0.11269999999999998,0.179,0.0396,0.1883,0.1419,0.1132,0.0142
ridge,0.3172124856957763,0.4319337767658475,8.941574360109666,17.617997588945748,6.813527057716707,0.6246587539722128,0.4189364251085367,0.2779141458518608,0.45639663292752775,0.00044650000203405593,0.1249224563126976,11.202658365402801,10.05161770829102,15.014670940506283,16.5331249152471,0.10831590453649605,0.7390583266742771,100.0,100.0,100.0,1.0,1.2316361922094582e-16,3,21946,5900,0.3551166666666666,0.4031,-0.0086,0.8111,0.8002,0.0502,0.0747
ridge,0.4961214774774109,0.8119328735374114,2.294937497851038,7.197238332755418,3.046398737876178,0.8364324813054078,0.5614376911380581,-0.04203823340978374,0.8497329376326886,0.044207890631511204,0.7269560975664475,5.877226695138467,2.4170940056019266,0.2947566605106698,4.6091019998912515,0.11728921320519334,0.4541564127587243,100.0,100.0,100.0,1.0,1.3284427038687815e-16,4,19206,6080,0.2776166666666667,0.3809,0.429,0.3456,0.2085,0.4142,-0.1125
elasticnet,0.4344830884086089,0.6875179959742159,5.42699887438707,12.128271509190407,5.568705755420263,0.7470896223103793,0.5861523492886391,0.48148696785686806,0.7370354829137487,-0.004272539751011273,0.059406647832973336,11.012156480821933,5.5650693954036194,2.954898435439917,12.037720922088155,0.24066224564159872,0.7514857669272417,100.0,100.0,100.0,1.0,1.1947324442487021e-16,0,19446,6100,0.27685000000000004,0.4057,0.3557,0.5504,0.2348,-0.01,0.1245
elasticnet,0.23651702628769802,0.37190546590412377,9.361335250727988,18.381840562636377,7.06559727515246,0.6882281621183659,-0.5620001862463564,0.17284883639697324,0.7242059719133742,-0.006104273114108993,0.4019236466579047,12.098244944412075,16.822939800929124,15.729493277560453,10.449902003087008,0.13975261678558826,0.9276788615936546,100.0,100.0,100.0,1.0,1.2681190103840479e-16,1,22036,6000,0.4008833333333333,0.2139,0.7245,0.7388,0.1913,0.1987,0.3381
elasticnet,0.35241064785002324,0.7464746875100318,3.424642077077209,8.56197678849095,3.833418430693254,0.7795299787358736,0.5811999862648705,-0.14505317630079095,0.7717531242044549,-0.011528779792607358,0.13856275398860896,8.822128507558185,3.006286601707872,0.5117248012931956,7.705813529903743,0.2685498056083334,0.2333492163919319,100.0,100.0,100.0,1.0,1.3302125293534678e-16,2,22000,5866,0.15183333333333335,0.2995,-0.0153,0.271,0.2366,0.1165,0.0027
elasticnet,0.22429652738513298,0.23277176912539274,10.517410330103035,19.859421148545955,7.7132447304161165,0.608445963041081,0.44697508460373414,-0.05754152168425297,0.1427515280587277,-0.005092294649669649,0.2102404049414086,11.713945380226901,9.964319220543043,19.24808987232888,21.34510263965997,0.10553771742620666,0.7274671504333229,100.0,100.0,100.0,1.0,1.2155870171431082e-16,3,21946,5900,0.40604999999999997,0.3287,0.0618,0.825,0.8541,0.0561,0.3106
elasticnet,0.4827158484619039,0.8022125086886509,2.3674531734454014,7.465917555481473,3.42406677534528,0.8276371647895381,0.6241142077088342,0.26724653631841666,0.8549760440997491,-0.004644476972184508,0.3269656148269825,6.108609633943204,2.270243121700319,0.24678684953746183,4.614742685473469,0.12136665329927612,0.8429700967186464,100.0,100.0,100.0,1.0,1.3341531874374346e-16,4,19206,6080,0.44651666666666673,0.4937,0.3904,0.3847,0.4918,0.4119,0.5066
extratrees,0.6748207843695057,0.8649382444939175,3.339280753067557,8.088380992320738,4.520947703774923,0.9065767017699776,0.7336990354992219,0.7534496576412084,0.902958471152734,0.002366941934473177,0.749873898219376,6.237339246542129,4.489402740642065,2.0267464019115176,6.696771403295966,0.2392320679869605,0.3461926580267138,100.0,100.0,100.0,1.0,1.2610510801974486e-16,0,19446,6100,0.16146666666666668,0.3457,0.384,0.0097,0.0773,-0.0098,0.1619
extratrees,0.6332041317184307,0.8185543080251785,4.717364700221503,10.310713241145843,5.742210231223777,0.8692976580634517,0.5443025339261148,0.8196641630840468,0.9107073096319012,-0.006177234208864846,0.6614303598137994,7.564377735767115,8.15603004254171,6.178458442526731,5.555305502565413,0.13774107378382283,0.7122754041442626,100.0,100.0,100.0,1.0,1.3226728255126114e-16,1,22036,6000,0.3393666666666666,0.2795,0.4605,0.5667,0.3075,0.1984,0.2236
extratrees,0.5806900886434888,0.8758035684732505,2.266713032707368,6.185029000452792,3.124413586994362,0.9119643886024422,0.6818960893438364,0.393563895458681,0.8922587411799505,-0.006570875601899395,0.6110282928781343,5.317558381703559,2.670808716604389,0.3821719415249006,4.811610632855384,0.26674106640454764,0.1513874571515422,100.0,100.0,100.0,1.0,1.5247382105822137e-16,2,22000,5866,0.15191666666666667,0.343,0.126,0.1009,0.2148,0.1158,0.011
extratrees,0.5459577244025242,0.705943662920771,6.080948975686957,12.720548953398417,6.325457314590342,0.8488166695094754,0.6606953805760276,0.5872353401417847,0.7476527284326562,0.03391115658924582,0.3974350711661415,6.744295391561657,8.449964028426384,10.57425273324933,9.969665585354823,0.10231590023653846,0.6452002152929883,100.0,100.0,100.0,1.0,1.2688162330997403e-16,3,21946,5900,0.4443333333333333,0.5293,0.2166,0.781,0.75,0.0539,0.3352
extratrees,0.6384134018775719,0.9136953546598054,1.5059115979603264,4.995577342052993,2.2827712785791903,0.9303553490998331,0.7006547827031437,0.3451301895012303,0.9445795540200814,0.004810156018903666,0.9049503799221474,3.6740125553446927,2.075738505769105,0.23017623585299454,2.6538501421051968,0.11897008509265888,0.28272206359732033,100.0,100.0,100.0,1.0,1.5101336972673372e-16,4,19206,6080,0.3016,0.3126,0.4785,0.1637,0.4538,0.4184,-0.0174
