fold,feature_set,config,n_features,r2,mae,time,n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,reg_lambda,subsample,colsample_bytree,subsample_freq
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,base,438,0.8232785105159293,3.036082031314681,36.955068588256836,500,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,n200,438,0.8160681720369171,3.1030667889656374,17.627280235290527,200,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,n1000,438,0.8253729703841516,3.029284528497043,74.27463746070862,1000,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,n2000,438,0.8258881865498992,3.033491726826339,156.66846561431885,2000,6,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth4,438,0.8174136762176462,3.1267929361222877,25.94622254371643,500,4,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth8,438,0.8263578179821239,3.033483040178155,49.13131022453308,500,8,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth12,438,0.8265277846994633,3.023924812491399,52.82864022254944,500,12,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,depth_none,438,0.8260388478912382,3.0350738529301013,54.20870351791382,500,-1,0.05,31,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves15,438,0.8215925904126129,3.103303282047124,30.133702754974365,500,6,0.05,15,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves63,438,0.8285976298387183,3.0117304816018247,47.56407380104065,500,6,0.05,63,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves127,438,0.8285976298387183,3.0117304816018247,46.729493379592896,500,6,0.05,127,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,leaves255,438,0.8285976298387183,3.0117304816018247,47.53683066368103,500,6,0.05,255,20,0.1,0.85,0.85,
0,VegIdx+RedEdge+TC+NDTI+IRECI+CRI1,lr0.01,438,0.8076769240871412,3.265211127285663,42.15427875518799,500,6,0.01,31,20,0.1,0.85,0.85,
