model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,feature_set,arch,activation,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.7981994152069092,0.9240392446517944,2.788970060646534,6.129639223217964,8.089281844184038,0.9459989666938782,0.8528254628181458,0.8441316485404968,0.9507057666778564,0.36250317096710205,0.8330170512199402,5.164455622434616,3.813181445002556,2.019185572862625,5.168828368186951,0.2556227147579193,0.31254731584340334,100.0,100.0,100.0,1.0,6.29363512416603e-08,bands_indices_plain_gelu_L3_d256,0,bands_indices,plain,gelu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,339206,163,0.406277,6.9
model,0.7864301800727844,0.9229410290718079,2.8444409370422363,6.180986762046814,8.200321688433075,0.9434418082237244,0.8482023477554321,0.8475100994110107,0.9514102339744568,0.29316097497940063,0.8348389267921448,5.299907922744751,3.8511618971824646,1.9601337611675262,5.266718193888664,0.3757280530408025,0.3129996592178941,100.0,100.0,100.0,1.0,6.287154263873163e-08,bands_indices_plain_gelu_L5_d256,0,bands_indices,plain,gelu,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,471814,152,0.407028,3.9
model,0.7777709364891052,0.9204738736152649,2.8474122285842896,6.286465376615524,8.160930818056949,0.9445487260818481,0.8419919610023499,0.8253520727157593,0.9511538147926331,0.27090543508529663,0.8326610326766968,5.199330672621727,3.9696022868156433,2.1238960325717926,5.172458663582802,0.32137318048626184,0.2977860625833273,100.0,100.0,100.0,1.0,6.328702539803999e-08,bands_indices_plain_gelu_L3_d512,0,bands_indices,plain,gelu,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,798,940550,99,0.409682,2.2
model,0.7643205523490906,0.9251468777656555,2.8209589421749115,6.136687472462654,8.288719738277011,0.9466830492019653,0.8605597019195557,0.8437318801879883,0.9523140788078308,0.15072649717330933,0.8318955898284912,5.2550263702869415,3.7840813398361206,2.058699354529381,5.217253044247627,0.29992712661623955,0.31076865270733833,100.0,100.0,100.0,1.0,6.201344149303623e-08,bands_indices_plain_gelu_L3_d128,0,bands_indices,plain,gelu,3,128,0,0.15,0.0,0.001,0.0001,0.0,False,798,136838,186,0.408288,4.0
model,0.7795648574829102,0.9264744520187378,2.6885276660323143,6.066049262881279,8.044035692173981,0.9485754370689392,0.8558436036109924,0.8521528244018555,0.9528948068618774,0.23387181758880615,0.8340383768081665,4.9138955771923065,3.643161430954933,2.0572658628225327,4.915088042616844,0.29768352396786213,0.30407917220145464,100.0,100.0,100.0,1.0,6.281593556423104e-08,bands_indices_plain_silu_L3_d256,0,bands_indices,plain,silu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,339206,230,0.403963,4.9
model,0.7925930619239807,0.9233547449111938,2.853221632540226,6.162236258387566,8.234067438827998,0.9448462724685669,0.8512691259384155,0.8297239542007446,0.953243613243103,0.3357398509979248,0.8407213091850281,5.284516885876656,3.874563053250313,2.1178046241402626,5.203225463628769,0.3393286606296897,0.29988510068506,100.0,100.0,100.0,1.0,6.267670471515885e-08,bands_indices_plain_silu_L5_d256,0,bands_indices,plain,silu,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,471814,152,0.406715,3.9
model,0.7675500512123108,0.9235838651657104,2.7634700760245323,6.179835274815559,7.970096904393123,0.9463199973106384,0.8478505611419678,0.8537903428077698,0.9505385756492615,0.17424380779266357,0.8325462937355042,5.122774839401245,3.768252581357956,1.9326834008097649,5.117148533463478,0.3425337141379714,0.29743777122348547,100.0,100.0,100.0,1.0,6.235062244286382e-08,bands_indices_plain_silu_L3_d512,0,bands_indices,plain,silu,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,798,940550,135,0.407339,2.9
model,0.7737756371498108,0.92322838306427,2.861013263463974,6.195513531565666,8.420214087809388,0.9448606371879578,0.8539440035820007,0.8417440056800842,0.9511833190917969,0.22307419776916504,0.8278370499610901,5.306209996342659,3.8323085755109787,2.145902067422867,5.242015048861504,0.3149325028061867,0.3247037995606661,100.0,100.0,100.0,1.0,6.239731220603062e-08,bands_indices_plain_silu_L3_d128,0,bands_indices,plain,silu,3,128,0,0.15,0.0,0.001,0.0001,0.0,False,798,136838,186,0.408879,4.0
model,0.7844681739807129,0.9228132367134094,2.8139695525169373,6.185634061694145,8.12602383395522,0.9444606304168701,0.8522555232048035,0.8486133813858032,0.9489896893501282,0.2769044041633606,0.8355710506439209,5.250490829348564,3.789200261235237,1.9912254065275192,5.248955264687538,0.28479541651904583,0.31915183644741774,100.0,100.0,100.0,1.0,6.221035420139742e-08,bands_indices_plain_relu_L3_d256,0,bands_indices,plain,relu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,339206,163,0.406981,3.3
model,0.799253523349762,0.9255512356758118,2.7192294597625732,6.0696180909872055,7.923851328561315,0.9467029571533203,0.8529601693153381,0.8560929298400879,0.9513550996780396,0.3549090623855591,0.833486795425415,5.1207806915044785,3.706997260451317,1.8242962658405304,5.087030306458473,0.27870277408510447,0.2975679002702236,100.0,100.0,100.0,1.0,6.325480939040062e-08,bands_indices_plain_relu_L5_d256,0,bands_indices,plain,relu,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,798,471814,253,0.40479,6.7
