model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,section,activation,n_layers,hidden_dim,dropout,lr,weight_decay,l1_lambda,feature_set,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.7629052464076205,0.9122373689255286,2.817908717866536,6.602803867697284,7.613643090455598,0.9391959598690587,0.8382262313248472,0.7909422538964057,0.9449948334468261,0.2563300831123069,0.8077421167962345,5.20857140805704,3.7585607771150413,2.0888297704151135,5.2606845220492335,0.26332337804013817,0.3274824515226518,100.0,100.0,100.0,1.0,7.410508828797902e-08,arch_geglu_L2_h128,architecture,geglu,2,128,0.15,0.001,0.0001,0.0,all,2109,574470,48,0.061516,32.6
model,0.7422689454998807,0.9111416301070431,2.8440559083908727,6.675009084741339,7.5741641023611495,0.9391356162737043,0.8445263282239024,0.7715296410990663,0.9456638221837601,0.15850330546767188,0.794254959751129,5.2087201982311715,3.7571266079518613,2.2888673515068696,5.186926695069561,0.28603437776001506,0.33666021982575606,100.0,100.0,100.0,1.0,7.374266886017722e-08,arch_geglu_L2_h256,architecture,geglu,2,256,0.15,0.001,0.0001,0.0,all,2109,1214470,38,0.061757,33.7
model,0.7335080769106449,0.9092297085328577,2.960151360368257,6.747925145802712,7.974433301608622,0.9358682217806698,0.8261099050782079,0.7782944540402534,0.9483036548029895,0.11916658342944353,0.7933056423322555,5.3335847087870265,4.122546600118334,2.4107004669170826,5.205977248908282,0.34833045705281285,0.3397686804260047,100.0,100.0,100.0,1.0,7.225067122362816e-08,arch_geglu_L2_h512,architecture,geglu,2,512,0.15,0.001,0.0001,0.0,all,2109,2691078,29,0.062433,45.4
model,0.7453577504286121,0.9128461251619097,2.8224312701864447,6.613945156085034,7.595287009410803,0.9380136691760989,0.8381887231591395,0.7835200137786956,0.9499206441022328,0.16488444006130787,0.7976190122941522,5.275467150847377,3.7978129761318162,2.15684908211699,5.1088995336260385,0.2701211570334257,0.32543772136301924,100.0,100.0,100.0,1.0,7.372292287755045e-08,arch_geglu_L3_h128,architecture,geglu,3,128,0.15,0.001,0.0001,0.0,all,2109,607750,53,0.062695,37.3
model,0.7372739528183322,0.9080629370912111,2.825078376600373,6.768472177655452,7.259053588413627,0.9349342318262139,0.8311848189375018,0.7766160861709652,0.9444662081613777,0.12447931810382906,0.8119630537100548,5.287609299629203,3.7477959212871657,2.096740636349165,5.231650040121667,0.279195263124489,0.307479099090549,100.0,100.0,100.0,1.0,7.423464865041751e-08,arch_geglu_L3_h256,architecture,geglu,3,256,0.15,0.001,0.0001,0.0,all,2109,1346566,45,0.063819,49.0
model,0.74321390949111,0.9102520102076489,2.9551216025008817,6.685209274719288,7.666753641557333,0.934339385680286,0.8290727521809088,0.8016649868144078,0.9456662297897311,0.13466647803008025,0.8138736244512026,5.5484560250252635,3.9160650580620944,2.1169934589761286,5.496330431413156,0.34866544610027356,0.3042191954283732,100.0,100.0,100.0,1.0,7.228693732486136e-08,arch_geglu_L3_h512,architecture,geglu,3,512,0.15,0.001,0.0001,0.0,all,2109,3217414,34,0.063662,68.1
model,0.7564001077383123,0.9168532530442903,2.7459277705340472,6.452994910120917,7.558776467506116,0.9431216509221597,0.8460706349672411,0.8069207158702422,0.9476263209187674,0.1813953305301883,0.8132659932212354,5.02018611191521,3.727081339091873,2.011917999971293,5.1085081703144555,0.29492102188465485,0.312951980026795,100.0,100.0,100.0,1.0,7.290867642950616e-08,arch_geglu_L4_h128,architecture,geglu,4,128,0.15,0.001,0.0001,0.0,all,2109,641030,65,0.064078,48.5
model,0.7611028565552739,0.9142389643351048,2.798278477723362,6.544132572727578,7.58178109041377,0.9389011566109995,0.8355976907960391,0.7917115546902964,0.9507861060822074,0.24692830521097264,0.8026923259410861,5.155804258027065,3.819258816476606,2.1180946469545665,5.084201171535809,0.2808142773749911,0.3314976959711322,100.0,100.0,100.0,1.0,7.351327724336443e-08,arch_geglu_L4_h256,architecture,geglu,4,256,0.15,0.001,0.0001,0.0,all,2109,1478662,43,0.064856,55.1
model,0.7351422642364152,0.9096004572602455,2.8640130548581078,6.7130404943180855,7.821675062663706,0.936079727327486,0.8293413846860456,0.7904921344488193,0.9449669374801948,0.08904853148029579,0.8209248699956041,5.325172513205469,3.933893043638893,2.0963550463667744,5.204763391392694,0.3032706942689696,0.32062364027584767,100.0,100.0,100.0,1.0,7.388863565438442e-08,arch_geglu_L4_h512,architecture,geglu,4,512,0.15,0.001,0.0001,0.0,all,2109,3743750,31,0.064145,76.4
model,0.7718442593234686,0.9162780000790565,2.7723183504205497,6.454087069602059,7.814375116268757,0.9404991888653859,0.8454101110696024,0.8030359366145626,0.9485255237256796,0.28025926120859923,0.8133355344569393,5.130421351277381,3.7652758977251994,2.009821317479154,5.105442394183601,0.2948439870227749,0.3281051548351868,100.0,100.0,100.0,1.0,7.383738420685404e-08,arch_geglu_L5_h128,architecture,geglu,5,128,0.15,0.001,0.0001,0.0,all,2109,674310,58,0.0641,55.1
model,0.7599300424483793,0.9165359657432184,2.7815382348559137,6.455708519553551,7.605560350418069,0.9394032137433441,0.8455070532072497,0.8163927714287185,0.9480046765468757,0.19447915582703768,0.8157933839370106,5.173423206555317,3.720874056200016,2.0378462032692712,5.162205212505498,0.2845412987803274,0.3103394318250512,100.0,100.0,100.0,1.0,7.375057009539887e-08,arch_geglu_L5_h256,architecture,geglu,5,256,0.15,0.001,0.0001,0.0,all,2109,1610758,43,0.064064,62.5
model,0.7346557790757267,0.9046666137388237,3.014820690283159,6.872569441931821,7.727597915109483,0.9368407877749781,0.8292259058343155,0.7323772102691833,0.9436986701721201,0.1450314471280001,0.820760653275701,5.656807960999164,3.8370240335771086,2.382534818124888,5.575650793106836,0.29195659869273666,0.3449499371982211,100.0,100.0,100.0,1.0,7.361619935863928e-08,arch_geglu_L5_h512,architecture,geglu,5,512,0.15,0.001,0.0001,0.0,all,2109,4270086,33,0.065781,94.3
