model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,feature_set,activation,n_layers,hidden_dim,dropout,lr,weight_decay,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.808893085636433,0.9218692709784843,2.692713389024966,6.183610515575962,7.368483504256831,0.9436874644119344,0.8477498845789802,0.8325641717292239,0.9502515354637553,0.43459041443976465,0.8445150431949058,5.046737588613321,3.6433151318492714,1.8812792733395356,5.0543005399347924,0.25210935865432377,0.27853844175855125,100.0,100.0,100.0,1.0,7.482853447982052e-08,bands_indices_geglu_L3_h256,bands_indices,geglu,3,256,0.15,0.001,0.0001,798,675334,51,0.058176,344.8
model,0.8279490087905236,0.9300252924380554,2.59658798178766,5.857211060928909,7.60152932135868,0.9494556093032668,0.8619264840428548,0.8631117282883525,0.9540115331181599,0.4930178866804944,0.8461708113099855,4.87768261242261,3.5466018345011183,1.7872456263880998,4.853734904419652,0.22579548227619228,0.2884674307182907,100.0,100.0,100.0,1.0,7.199225393605957e-08,bands_indices_silu_L3_h256,bands_indices,silu,3,256,0.15,0.001,0.0001,798,339206,69,0.054564,726.6
model,0.831759116398502,0.9318347738969349,2.5665107544140575,5.791035591377615,7.788622737375504,0.9512211106210234,0.8638012737082214,0.8503969315111111,0.9584311914545149,0.5175564823598315,0.8491477087362805,4.782869153771794,3.5357842393389065,1.867341764483527,4.673404666352363,0.2592504880279316,0.2804142145098248,100.0,100.0,100.0,1.0,7.310014638051143e-08,bands_indices_relu_L3_h256,bands_indices,relu,3,256,0.15,0.001,0.0001,798,339206,102,0.052763,616.0
model,0.8384083595820261,0.9285610023439047,2.627205180011331,5.899970883055977,7.616663077159839,0.9489335978882145,0.8565128863100233,0.8489090091729675,0.9548337736575566,0.5803677734194779,0.84089311704389,4.894048729678735,3.6325608575850503,1.872542808683282,4.844829283758491,0.23941617576645058,0.27983322459597537,100.0,100.0,100.0,1.0,7.241975197302963e-08,bands_indices_gelu_L3_h256,bands_indices,gelu,3,256,0.15,0.001,0.0001,798,339206,59,0.054289,172.5
model,0.7824510208418834,0.921513782501911,2.6667336488238287,6.240284473226207,7.42535514464914,0.9456442289814437,0.843670099278802,0.8070357885657355,0.9551273993537901,0.2987125917697452,0.8445160171017418,4.945453460487756,3.70729720777156,1.9747014521558675,4.834895470825142,0.2589955062300553,0.27905879547259127,100.0,100.0,100.0,1.0,7.464150542091375e-08,bands_indices_geglu_L3_h128,bands_indices,geglu,3,128,0.15,0.001,0.0001,798,272134,74,0.058388,795.5
model,0.8306544909146919,0.9288666246547526,2.6221763013926576,5.900797391907273,7.542919468748971,0.949321457093423,0.856453909562557,0.8557990063566981,0.9543690124654288,0.527717075621435,0.8402664843885835,4.868580749981641,3.58553877444997,1.8610016298076633,4.861989235956094,0.2733748416306626,0.2825725765299119,100.0,100.0,100.0,1.0,7.30483336042198e-08,bands_indices_silu_L3_h512,bands_indices,silu,3,512,0.15,0.001,0.0001,798,940550,60,0.054805,1016.0
model,0.8579893285015089,0.9351067521307387,2.546609783795606,5.6147821723031806,8.281005122133099,0.9514409050718343,0.8695139103115298,0.8730942279627829,0.9588353178718951,0.6491887404723918,0.8458628693185991,4.800491013866634,3.491403515932714,1.7306003445308489,4.651877221624349,0.28425796914127177,0.32102863767782075,100.0,100.0,100.0,1.0,7.220229036875025e-08,bands_indices_relu_L5_h256,bands_indices,relu,5,256,0.15,0.001,0.0001,798,471814,97,0.055085,1069.0
model,0.789046836854829,0.9289433417846218,2.6455126961612634,5.9679956477470855,7.649709137464152,0.9487533790384182,0.8634183919719851,0.8563746048222155,0.9551881610481651,0.27932913437090834,0.831217349877253,4.982066064534294,3.619963427082424,1.8345614034453512,4.8898427030237706,0.2568010529897375,0.28984152589199874,100.0,100.0,100.0,1.0,7.374266886017722e-08,bands_indices_silu_L4_h256,bands_indices,silu,4,256,0.15,0.001,0.0001,798,405510,62,0.055691,151.1
model,0.8116648965343533,0.9247536653133851,2.646693234453024,6.0796874696915975,7.191121419888922,0.9454308874095217,0.8492420879917955,0.8481963100544185,0.9523150545669515,0.436662909486635,0.8381421296967678,4.958388529596795,3.6083071321943145,1.8423426842976007,4.950293833070582,0.24705515598822755,0.27377207157062405,100.0,100.0,100.0,1.0,7.32076230747225e-08,bands_indices_geglu_L2_h256,bands_indices,geglu,2,256,0.15,0.001,0.0001,798,543238,55,0.05867,99.1
model,0.8304702642596832,0.9316116068680547,2.5731504632792506,5.799214919574813,7.818746986917454,0.9507844913926549,0.8630812668227082,0.8556584072610466,0.9575442576139727,0.5067181733939501,0.8490349890737392,4.7973937037898855,3.531405050145752,1.835849506575676,4.706990955440481,0.2779124809135096,0.28935108281020255,100.0,100.0,100.0,1.0,7.225872877825168e-08,bands_indices_relu_L3_h256_d0.1,bands_indices,relu,3,256,0.1,0.001,0.0001,798,339206,103,0.05406,205.3
