model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,run_id,feature_set,arch,activation,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,use_cosine,n_features,n_params,epochs,best_val_loss,elapsed_s
model,0.782066285610199,0.9233224391937256,2.6961656287312508,6.178772449493408,7.708234734921564,0.9476845264434814,0.8454015254974365,0.8372102379798889,0.9519171118736267,0.2772790789604187,0.8328935503959656,4.951877146959305,3.756352514028549,1.9528819248080254,4.935077205300331,0.2985691651701927,0.2822388196364045,100.0,100.0,100.0,1.0,6.2778838127997e-08,bands_indices_plain_gelu_L3_d256,0,bands_indices,plain,gelu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,339206,72,0.404724,9.4
model,0.7814036011695862,0.9276106953620911,2.7040356770157814,6.009034812450409,7.952019803428365,0.9484649300575256,0.8614562153816223,0.8646894097328186,0.9513642191886902,0.21984565258026123,0.8425893783569336,4.945650696754456,3.642769530415535,1.9492974504828453,5.061602592468262,0.34227173309773207,0.2826177980750799,100.0,100.0,100.0,1.0,6.315345046914445e-08,bands_indices_plain_gelu_L5_d256,1,bands_indices,plain,gelu,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,471814,65,0.403047,10.2
model,0.7762184143066406,0.9184569716453552,2.735188789665699,6.354048103094101,7.380101643068912,0.9421120882034302,0.842937707901001,0.812336802482605,0.9503727555274963,0.26828306913375854,0.8412591814994812,5.133255571126938,3.678252547979355,2.052517421543598,5.004649609327316,0.27296384796500206,0.2694931346923113,100.0,100.0,100.0,1.0,6.225715054597458e-08,bands_indices_plain_gelu_L3_d512,2,bands_indices,plain,gelu,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,940550,77,0.404156,10.9
model,0.8209986686706543,0.9280263185501099,2.6195863261818886,5.951151624321938,7.632956791844591,0.9499804377555847,0.8582373857498169,0.848624050617218,0.9532313942909241,0.47797662019729614,0.8379296064376831,4.829062521457672,3.6467909812927246,1.8755953758955002,4.841631278395653,0.22838420700281858,0.2960548037663102,100.0,100.0,100.0,1.0,6.254182238762951e-08,bands_indices_plain_silu_L3_d256,4,bands_indices,plain,silu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,339206,80,0.404383,10.3
model,0.7986533045768738,0.9274337291717529,2.6578864082694054,5.999882146716118,7.88561945853777,0.9489027261734009,0.8537401556968689,0.8550166487693787,0.9537985324859619,0.33825093507766724,0.8421972990036011,4.8813242465257645,3.612062707543373,1.919667236506939,4.9210794270038605,0.30755018815398216,0.3056364133954048,100.0,100.0,100.0,1.0,6.3010340056735e-08,bands_indices_plain_silu_L5_d256,5,bands_indices,plain,silu,5,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,471814,65,0.403527,10.9
model,0.7927685379981995,0.9259770512580872,2.6760362088680267,6.067720055580139,7.728207523620011,0.9487847685813904,0.8481686115264893,0.8418241739273071,0.9549531936645508,0.3248569369316101,0.8380135893821716,5.0071831792593,3.6887891590595245,1.9800139591097832,4.8403870314359665,0.24504372850060463,0.294800172559917,100.0,100.0,100.0,1.0,6.371808325411621e-08,bands_indices_plain_silu_L3_d512,6,bands_indices,plain,silu,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,940550,56,0.403193,8.2
model,0.8237833380699158,0.9264112710952759,2.6561612263321877,6.004313752055168,7.597544136399057,0.9479779005050659,0.8540011644363403,0.8446983695030212,0.952854573726654,0.5051062107086182,0.8380486369132996,4.933397471904755,3.6955606192350388,1.8756575882434845,4.923120141029358,0.2356438199058175,0.273582455702126,100.0,100.0,100.0,1.0,6.232259863736545e-08,bands_indices_plain_relu_L3_d256,8,bands_indices,plain,relu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,339206,80,0.404355,10.9
model,0.7893491387367249,0.9218955039978027,2.725396119058132,6.2188055366277695,7.561414802650965,0.9399479031562805,0.8481136560440063,0.8458220958709717,0.9521511197090149,0.32288533449172974,0.8271631002426147,5.198676884174347,3.684762865304947,1.8210485577583313,5.0742946565151215,0.2757091773673892,0.2978929551318288,100.0,100.0,100.0,1.0,6.2233752373686e-08,bands_indices_plain_relu_L3_d512,10,bands_indices,plain,relu,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,940550,57,0.403911,8.0
model,0.8336753249168396,0.9264869689941406,2.64371857047081,5.9854406863451,7.658951062340707,0.9495406746864319,0.8542085289955139,0.8408690690994263,0.952004075050354,0.5695252418518066,0.8358898162841797,4.847154021263123,3.6815669387578964,1.8975535407662392,4.903826490044594,0.23792474530637264,0.29426843393594027,100.0,100.0,100.0,1.0,6.330542845489617e-08,bands_indices_plain_mish_L3_d256,12,bands_indices,plain,mish,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,339206,80,0.404418,10.9
model,0.8210795521736145,0.9265626072883606,2.660745196044445,6.0063425451517105,7.673456975356956,0.9486283659934998,0.8471624851226807,0.8394364714622498,0.9558537602424622,0.4997209310531616,0.8356623649597168,4.966629669070244,3.6693964153528214,1.9898969680070877,4.803922027349472,0.23249380756169558,0.30213152058422565,100.0,100.0,100.0,1.0,6.305192101763168e-08,bands_indices_plain_mish_L3_d512,14,bands_indices,plain,mish,3,512,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,940550,56,0.402598,8.7
model,0.7922866344451904,0.9265174269676208,2.7038155123591423,6.041151285171509,7.679693574651152,0.9446343183517456,0.8606535196304321,0.8467373251914978,0.9547593593597412,0.29829758405685425,0.8486253619194031,5.067204684019089,3.692127764225006,2.037307433784008,4.912117496132851,0.23826174437999725,0.27588075026869774,100.0,100.0,100.0,1.0,6.258837004224915e-08,bands_indices_plain_geglu_L3_d256,16,bands_indices,plain,geglu,3,256,0,0.15,0.0,0.001,0.0001,0.0,False,True,798,675334,51,0.408037,8.2
model,0.7730609774589539,0.922772228717804,2.733144722878933,6.211267411708832,7.749047429796682,0.9463808536529541,0.8484525680541992,0.8247788548469543,0.953433632850647,0.2275867462158203,0.8377200365066528,5.129118263721466,3.7195779383182526,1.9977113232016563,5.006025359034538,0.2694411901757121,0.2770052757114172,100.0,100.0,100.0,1.0,6.23085796291889e-08,bands_indices_plain_relu_L3_d256_lr0.0005,19,bands_indices,plain,relu,3,256,0,0.15,0.0,0.0005,0.0001,0.0,False,True,798,339206,77,0.403582,8.4
model,0.8005101084709167,0.9241248965263367,2.6782820001244545,6.1207979917526245,7.604299576974147,0.946487545967102,0.8500412702560425,0.8354045152664185,0.952600359916687,0.37635666131973267,0.8421587944030762,5.005970597267151,3.6283347755670547,1.9762968644499779,4.9444530159235,0.23985188454389572,0.2747931284829974,100.0,100.0,100.0,1.0,6.288543374921574e-08,bands_indices_plain_relu_L3_d256_wd0.0005,20,bands_indices,plain,relu,3,256,0,0.15,0.0,0.001,0.0005,0.0,False,True,798,339206,81,0.40309,8.0
model,0.8072566986083984,0.9226987957954407,2.723967470228672,6.157553568482399,7.2927243241837765,0.9430185556411743,0.8482609987258911,0.8484898805618286,0.9499282836914062,0.41839444637298584,0.8354361057281494,5.147759988903999,3.658352792263031,1.8729250878095627,5.092315748333931,0.2741211326792836,0.2983186859637499,100.0,100.0,100.0,1.0,6.201344149303623e-08,bands_indices_residual_gelu_L4_d256,21,bands_indices,residual,gelu,4,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,1260806,64,0.404763,10.7
model,0.7830467224121094,0.9206163883209229,2.748250402510166,6.278011202812195,7.2740369653467285,0.9415645003318787,0.8491268754005432,0.8453089594841003,0.9482893347740173,0.2992541790008545,0.8147254586219788,5.1787059754133224,3.6647144705057144,1.9479071721434593,5.1434434950351715,0.24699138011783361,0.3077381057664752,100.0,100.0,100.0,1.0,6.23085796291889e-08,bands_indices_residual_gelu_L8_d256,23,bands_indices,residual,gelu,8,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,2314502,65,0.404224,15.3
model,0.7952021956443787,0.9229981899261475,2.717052586376667,6.156758591532707,7.555478716390688,0.9442231059074402,0.8454598188400269,0.8527098298072815,0.950076162815094,0.3354504108428955,0.8432806730270386,5.011090263724327,3.7084709852933884,1.9287412986159325,5.03368154168129,0.32957773655653,0.29075597412884235,100.0,100.0,100.0,1.0,6.27973903988277e-08,bands_indices_residual_gelu_L10_d256,24,bands_indices,residual,gelu,10,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,2841350,49,0.405079,13.4
model,0.8411061763763428,0.9242576956748962,2.8059862554073334,6.0448527336120605,7.5397005863519935,0.9409778714179993,0.8509733080863953,0.8416143655776978,0.9539279937744141,0.6187399625778198,0.840390145778656,5.537604540586472,3.7315692752599716,1.9400034099817276,5.158427357673645,0.19649474415928125,0.2718387870118022,100.0,100.0,100.0,1.0,6.145209852093103e-08,bands_indices_residual_gelu_L12_d256,25,bands_indices,residual,gelu,12,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,3368198,55,0.406242,18.2
model,0.8032885193824768,0.9265220761299133,2.732555568218231,6.037004292011261,7.750916596198255,0.9466401934623718,0.8558191657066345,0.8504906892776489,0.9538112878799438,0.38310980796813965,0.8298483490943909,4.994723945856094,3.804001584649086,2.042906917631626,5.002065747976303,0.265030306763947,0.2865954302251339,100.0,100.0,100.0,1.0,6.347999459421771e-08,bands_indices_residual_silu_L4_d256,26,bands_indices,residual,silu,4,256,2,0.15,0.0,0.001,0.0001,0.0,False,True,798,1260806,59,0.403915,9.5
