model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s,run_tag
model,0.8614501953125,0.9337266683578491,2.530617266893387,5.658924579620361,7.743255749045109,0.9511256814002991,0.8658676743507385,0.867372989654541,0.957785427570343,0.6803784370422363,0.8461542725563049,4.762709140777588,3.4781891852617264,1.7702635377645493,4.659061506390572,0.22894474677741528,0.28452975675463676,100.0,100.0,100.0,1.0,6.936777907640135e-08,bands_indices_plain_silu_L5_d512_bn,0,cv,bands_indices,plain,silu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,798,1467910,300,0.400262,35.9,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8334333300590515,0.9321737289428711,2.5524673983454704,5.774814262986183,7.748679618333055,0.9493722319602966,0.8616311550140381,0.8637211918830872,0.9589414000511169,0.5247044563293457,0.8422123789787292,4.833455756306648,3.56401726603508,1.7609138041734695,4.638413712382317,0.24118362925946712,0.27681938372552395,100.0,100.0,100.0,1.0,6.977379740646938e-08,bands_indices_plain_relu_L5_d512_bn,0,cv,bands_indices,plain,relu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,798,1467910,300,0.400751,31.7,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8719505667686462,0.9338443279266357,2.573191188275814,5.626914277672768,7.535016609471631,0.9497225284576416,0.8666328191757202,0.8722386360168457,0.9575483798980713,0.7399938106536865,0.8455551862716675,4.866276308894157,3.5919222980737686,1.762073114514351,4.736938327550888,0.21245942916721106,0.2694744383916259,100.0,100.0,100.0,1.0,6.939296071095669e-08,bands_indices_plain_silu_L5_d512_nonorm,0,cv,bands_indices,plain,silu,none,5,512,2,0.15,0.0,0.001,0.0001,0,False,798,1462790,300,0.401375,23.2,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8487443923950195,0.9301865696907043,2.6046784594655037,5.817726254463196,7.3020337674185605,0.9480630159378052,0.8605128526687622,0.8529331088066101,0.956767201423645,0.6270539164543152,0.8471256494522095,4.949170351028442,3.53827103972435,1.8499160185456276,4.804063588380814,0.22382524330168962,0.2628351328894496,100.0,100.0,100.0,1.0,6.970280708173959e-08,bands_indices_plain_mish_L5_d512_nonorm,0,cv,bands_indices,plain,mish,none,5,512,2,0.15,0.0,0.001,0.0001,0,False,798,1462790,300,0.401938,23.5,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8189802169799805,0.9317229390144348,2.58640144020319,5.830207467079163,7.991412428878326,0.9512649774551392,0.8674489855766296,0.8549922704696655,0.9574704170227051,0.4569070339202881,0.8257848620414734,4.74446564912796,3.543916344642639,1.9240370020270348,4.7096118330955505,0.2690764144062996,0.3273111768066883,100.0,100.0,100.0,1.0,6.997800028329948e-08,bands_indices_residual_gelu_L4_d256_bn,0,cv,bands_indices,residual,gelu,batchnorm,4,256,2,0.15,0.0,0.001,0.0001,0,False,798,1260294,300,0.402697,39.4,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8661029934883118,0.9318549036979675,2.576570399105549,5.730334296822548,7.7400911074673235,0.9490845799446106,0.8611725568771362,0.8620310425758362,0.957931637763977,0.7497947216033936,0.8165861368179321,4.849390313029289,3.5860639065504074,1.846747286617756,4.646247252821922,0.21081881131976843,0.32015135511755943,100.0,100.0,100.0,1.0,7.148077685315002e-08,bands_indices_residual_silu_L8_d256_bn,0,cv,bands_indices,residual,silu,batchnorm,8,256,2,0.15,0.0,0.001,0.0001,0,False,798,2313990,300,0.403171,62.7,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8452661633491516,0.9303608536720276,2.5818662717938423,5.83140105009079,7.734863168365454,0.9490973949432373,0.8569773435592651,0.8638100028038025,0.9563567638397217,0.6302164793014526,0.815121054649353,4.806993901729584,3.565062955021858,1.8159102648496628,4.7364287078380585,0.2412967151030898,0.32550981268286705,100.0,100.0,100.0,1.0,6.920807038568455e-08,bands_indices_residual_relu_L4_d256_bn,0,cv,bands_indices,residual,relu,batchnorm,4,256,2,0.15,0.0,0.001,0.0001,0,False,798,1260294,300,0.403571,38.4,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8248068690299988,0.9290686845779419,2.5826239958405495,5.918389931321144,7.981044141515494,0.947848916053772,0.8581250309944153,0.8577101826667786,0.9560869932174683,0.5118513107299805,0.817205011844635,4.796823114156723,3.581392765045166,1.821865327656269,4.653427377343178,0.29523998964577913,0.34700524993240833,100.0,100.0,100.0,1.0,7.059944806542262e-08,bands_indices_residual_gelu_L6_d512_bn_lr0.0005,0,cv,bands_indices,residual,gelu,batchnorm,6,512,2,0.15,0.0,0.0005,0.0001,0,False,798,6720006,300,0.406615,50.7,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8494836688041687,0.9347156286239624,2.5718936696648598,5.659713968634605,8.31668723825816,0.9507032036781311,0.8752886056900024,0.8770149946212769,0.9572398066520691,0.6178115606307983,0.8188334703445435,4.784010723233223,3.4962479025125504,1.7368031665682793,4.724377393722534,0.32675478141754866,0.36318148486316204,100.0,100.0,100.0,1.0,6.973204591531612e-08,bands_indices_residual_silu_L6_d512_bn_lr0.0005,0,cv,bands_indices,residual,silu,batchnorm,6,512,2,0.15,0.0,0.0005,0.0001,0,False,798,6720006,300,0.407589,53.0,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8044226169586182,0.9268454313278198,2.657170593738556,6.035785377025604,7.513456955843803,0.9483892321586609,0.851510763168335,0.8367661833763123,0.9572214484214783,0.41350531578063965,0.8191326856613159,4.936347156763077,3.688584640622139,1.9602878019213676,4.777815937995911,0.27734313625842333,0.30263480730354786,100.0,100.0,100.0,1.0,6.927535878276103e-08,bands_indices_residual_gelu_L10_d256_nonorm,0,cv,bands_indices,residual,gelu,none,10,256,2,0.15,0.0,0.001,0.0001,0,False,798,2835206,292,0.401266,57.2,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8379507064819336,0.927963137626648,2.598267048597336,5.935899540781975,7.35278884196318,0.9484000205993652,0.8575010299682617,0.8500460982322693,0.9540355205535889,0.6015893220901489,0.8161205649375916,4.859977215528488,3.623795136809349,1.7938241362571716,4.795536398887634,0.221918779425323,0.2945799846202135,100.0,100.0,100.0,1.0,6.797689167115095e-08,bands_indices_residual_silu_L10_d256_nonorm,0,cv,bands_indices,residual,silu,none,10,256,2,0.15,0.0,0.001,0.0001,0,False,798,2835206,300,0.401064,59.9,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8238940238952637,0.9266967177391052,2.6164283975958824,6.004075706005096,7.387197458245207,0.9470639228820801,0.8520113229751587,0.8482857942581177,0.954615592956543,0.520525336265564,0.820850133895874,4.893916472792625,3.60669381916523,1.874219998717308,4.772964119911194,0.2530205063521862,0.29775735456496477,100.0,100.0,100.0,1.0,6.789973383547476e-08,bands_indices_residual_mish_L10_d256_nonorm,0,cv,bands_indices,residual,mish,none,10,256,2,0.15,0.0,0.001,0.0001,0,False,798,2835206,300,0.401087,60.9,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8335544466972351,0.9275903701782227,2.6329495012760162,5.946818366646767,7.3399225373708665,0.9467924237251282,0.850447416305542,0.8523789644241333,0.9558526277542114,0.5640860795974731,0.831757664680481,4.970338940620422,3.718327358365059,1.8042070791125298,4.7848280519247055,0.23735370486974716,0.28266662266105413,100.0,100.0,100.0,1.0,7.059119866426045e-08,bands_indices_residual_mish_L12_d256_nonorm,0,cv,bands_indices,residual,mish,none,12,256,2,0.15,0.0,0.001,0.0001,0,False,798,3361030,300,0.402105,67.4,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8296766877174377,0.9232398867607117,2.7798937633633614,6.099354103207588,8.367133949299117,0.9448132514953613,0.8570724725723267,0.8187350034713745,0.9512086510658264,0.5530771613121033,0.8531423807144165,5.215016752481461,3.652637079358101,2.0204344764351845,5.132218077778816,0.32384335063397884,0.3352052066475153,100.0,100.0,100.0,1.0,6.946426367449021e-08,bands_indices_texture_plain_gelu_L3_d256_bn,0,cv,bands_indices_texture,plain,gelu,batchnorm,3,256,2,0.15,0.0,0.001,0.0001,0,False,1368,485126,300,0.414049,24.1,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8146468997001648,0.922295093536377,2.705581486225128,6.162058934569359,7.582731121681985,0.9470922946929932,0.848758339881897,0.8182525038719177,0.9505977630615234,0.4774697422981262,0.8456961512565613,4.955730587244034,3.6527924239635468,2.039208449423313,5.044091492891312,0.25312365032732487,0.2885403810068965,100.0,100.0,100.0,1.0,7.004870639093497e-08,bands_indices_texture_plain_gelu_L3_d512_bn,0,cv,bands_indices_texture,plain,gelu,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,1368,1232390,300,0.417038,23.8,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8137302398681641,0.9251969456672668,2.6506712660193443,6.057124957442284,7.65924394497944,0.9473975300788879,0.8586894869804382,0.8298258781433105,0.9519864320755005,0.44121915102005005,0.8532347679138184,4.947123676538467,3.596501052379608,1.8695484846830368,4.925723746418953,0.2917174715548754,0.2734068548306823,100.0,100.0,100.0,1.0,6.928376450332507e-08,bands_indices_texture_plain_gelu_L5_d512_bn,0,cv,bands_indices_texture,plain,gelu,batchnorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,1368,1759750,300,0.415469,32.4,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.81522536277771,0.9221517443656921,2.7521776035428047,6.167599558830261,7.78502151980719,0.9442847371101379,0.8478357195854187,0.823682963848114,0.9517915844917297,0.4803008437156677,0.8434385061264038,5.106598511338234,3.754192590713501,2.0572012290358543,5.034187808632851,0.26682494208216667,0.2940719248726964,100.0,100.0,100.0,1.0,6.870553193039086e-08,bands_indices_texture_plain_silu_L3_d512_bn,0,cv,bands_indices_texture,plain,silu,batchnorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,1368,1232390,300,0.414938,24.7,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8160743713378906,0.9223938584327698,2.7488281950354576,6.157329306006432,8.320305270313002,0.9480616450309753,0.8546076416969299,0.8152903914451599,0.9489035606384277,0.4860764741897583,0.8434980511665344,5.021607503294945,3.6679886281490326,1.9937610253691673,5.1527343690395355,0.3039911389350891,0.3528907662257552,100.0,100.0,100.0,1.0,6.828889809185057e-08,bands_indices_texture_plain_silu_L5_d256_bn,0,cv,bands_indices_texture,plain,silu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,1368,617734,300,0.415065,31.2,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.794335663318634,0.9233077764511108,2.7848221361637115,6.161816045641899,8.350109050163317,0.9465497136116028,0.856484591960907,0.8235782980918884,0.9513054490089417,0.34667110443115234,0.8414167761802673,5.093858018517494,3.6781400442123413,2.0647266879677773,5.154716223478317,0.36363033577799797,0.353866396471858,100.0,100.0,100.0,1.0,6.759024273605974e-08,bands_indices_texture_plain_relu_L3_d256_bn,0,cv,bands_indices_texture,plain,relu,batchnorm,3,256,2,0.15,0.0,0.001,0.0001,0,False,1368,485126,300,0.414097,24.6,stcv_ep300_bs2048_pat2000_min1500_seed42
model,0.8215851187705994,0.9271154403686523,2.767200954258442,5.985793098807335,8.83715413161234,0.9491636753082275,0.8630779385566711,0.836940586566925,0.9524778127670288,0.4890093207359314,0.8388331532478333,4.9659114331007,3.6788083612918854,1.9919203594326973,5.102717503905296,0.4477251321077347,0.4161256831139326,100.0,100.0,100.0,1.0,6.966102006344954e-08,bands_indices_texture_plain_relu_L5_d256_bn,0,cv,bands_indices_texture,plain,relu,batchnorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,1368,617734,283,0.414827,30.7,stcv_ep300_bs2048_pat2000_min1500_seed42
