model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,expansion,dropout,input_dropout,lr,weight_decay,mixup_alpha,use_swa,n_features,n_params,epochs,best_val_loss,elapsed_s,run_tag
model,0.7946318984031677,0.9268136024475098,2.666710503399372,6.038035452365875,7.876632142274556,0.9490932822227478,0.8557708263397217,0.8496443629264832,0.9531109929084778,0.3294646143913269,0.8306930065155029,4.936298355460167,3.6525502800941467,1.9035188481211662,4.928546026349068,0.2655812771990895,0.3137708641588688,100.0,100.0,100.0,1.0,6.979882982705021e-08,bands_indices_plain_gelu_L3_d256,0,search,bands_indices,plain,gelu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0,False,798,339206,120,0.405097,10.9,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8094468116760254,0.9266725182533264,2.6511631906032562,6.026658788323402,7.662455386299874,0.9482091665267944,0.8523694276809692,0.8369045853614807,0.9561166167259216,0.43201154470443726,0.8310567140579224,4.902367666363716,3.6755546927452087,1.9891390576958656,4.7994788736104965,0.2453634049743414,0.2950630150735378,100.0,100.0,100.0,1.0,7.06736571487454e-08,bands_indices_plain_gelu_L3_d512,0,search,bands_indices,plain,gelu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,798,940550,120,0.403075,8.5,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.7983050346374512,0.9267653822898865,2.6498913764953613,6.033286452293396,7.849979457435784,0.9490704536437988,0.856218695640564,0.8390498161315918,0.9544538259506226,0.35142964124679565,0.8395933508872986,4.933478683233261,3.638564422726631,1.9295483827590942,4.833117872476578,0.2676132135093212,0.29702470637857914,100.0,100.0,100.0,1.0,7.022309489457257e-08,bands_indices_plain_gelu_L5_d256,0,search,bands_indices,plain,gelu,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,798,471814,120,0.404057,10.6,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.822690486907959,0.9297752380371094,2.6080071926116943,5.892186239361763,7.571108026551556,0.9507842063903809,0.8613722324371338,0.8507762551307678,0.9555301666259766,0.48797881603240967,0.8296882510185242,4.799570515751839,3.611084073781967,1.8982810899615288,4.775971919298172,0.26086473371833563,0.30228164978325367,100.0,100.0,100.0,1.0,7.002792301591398e-08,bands_indices_plain_gelu_L5_d512,0,search,bands_indices,plain,gelu,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,798,1467910,120,0.402227,10.4,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8008584976196289,0.9266036152839661,2.6904255151748657,6.035315990447998,8.012998095784305,0.9479577541351318,0.8560771346092224,0.8531676530838013,0.9524837136268616,0.36533987522125244,0.8301108479499817,4.997269436717033,3.6842525005340576,1.9109103828668594,4.952368885278702,0.27255264576524496,0.3251818707212806,100.0,100.0,100.0,1.0,6.840393496077013e-08,bands_indices_plain_silu_L3_d256,0,search,bands_indices,plain,silu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0,False,798,339206,120,0.40461,8.8,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8057443499565125,0.9280617237091064,2.633601985871792,5.9757184237241745,7.7825038465250405,0.9493027329444885,0.85760498046875,0.8523415923118591,0.9542180299758911,0.3874342441558838,0.8335529565811157,4.895380139350891,3.624025359749794,1.876978576183319,4.841884970664978,0.2620156155899167,0.3013323526829481,100.0,100.0,100.0,1.0,6.984888045735715e-08,bands_indices_plain_silu_L3_d512,0,search,bands_indices,plain,silu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,798,940550,120,0.403071,8.5,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8178016543388367,0.9291476607322693,2.655601315200329,5.912019684910774,7.91757893912991,0.948516845703125,0.8565783500671387,0.861729085445404,0.9552480578422546,0.44759345054626465,0.8371291756629944,4.971541464328766,3.666449710726738,1.8805202096700668,4.835176095366478,0.2745899837464094,0.3053612308576703,100.0,100.0,100.0,1.0,6.932158669314958e-08,bands_indices_plain_silu_L5_d256,0,search,bands_indices,plain,silu,layernorm,5,256,2,0.15,0.0,0.001,0.0001,0,False,798,471814,120,0.404636,10.6,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8349647521972656,0.9311648011207581,2.584422193467617,5.811033770442009,7.606816983487241,0.9505149722099304,0.8630681037902832,0.8631780743598938,0.9553912281990051,0.5403839349746704,0.8372392654418945,4.812458157539368,3.5613857209682465,1.807710900902748,4.781258478760719,0.24645959492772818,0.2972543006762862,100.0,100.0,100.0,1.0,6.941394303794368e-08,bands_indices_plain_silu_L5_d512,0,search,bands_indices,plain,silu,layernorm,5,512,2,0.15,0.0,0.001,0.0001,0,False,798,1467910,120,0.402167,12.2,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.7857186794281006,0.9251651167869568,2.693472057580948,6.110192462801933,7.957653111318953,0.9468790292739868,0.8524266481399536,0.8442356586456299,0.9534146785736084,0.2861177921295166,0.8312230706214905,5.032552778720856,3.6643322557210922,1.9326578825712204,4.9427371472120285,0.2804764313623309,0.30807037837803364,100.0,100.0,100.0,1.0,6.950198638833172e-08,bands_indices_plain_relu_L3_d256,0,search,bands_indices,plain,relu,layernorm,3,256,2,0.15,0.0,0.001,0.0001,0,False,798,339206,120,0.405048,9.0,stsearch_ep120_bs2048_pat700_min300_seed42
model,0.8089890480041504,0.9243159294128418,2.667299658060074,6.112123653292656,7.65881276237859,0.9469054937362671,0.8483330011367798,0.8296071887016296,0.9542228579521179,0.44571226835250854,0.8291404247283936,4.9697790294885635,3.673805668950081,1.939588412642479,4.87891361117363,0.24254850577563047,0.2991515211760998,100.0,100.0,100.0,1.0,6.961501952673643e-08,bands_indices_plain_relu_L3_d512,0,search,bands_indices,plain,relu,layernorm,3,512,2,0.15,0.0,0.001,0.0001,0,False,798,940550,120,0.404129,9.2,stsearch_ep120_bs2048_pat700_min300_seed42
