name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
bands_indices_glcm_lbp_plain_mish_L5_d512_bn,0.7753440499305725,0.07419392491661664,2.48687332496047,1.11115585355646,7.737178924207717,0.590060338263844,5,300.0,38.32,924,1532422,bands_indices_glcm_lbp,plain,mish,batchnorm
bands_indices_residual_silu_L10_d256_nonorm,0.7717642068862915,0.04998605937811464,2.521416638046503,1.1161441185815122,6.955431880844545,1.169857304441536,5,296.6,74.96000000000001,798,2835206,bands_indices,residual,silu,none
full_no_deltas_plain_gelu_L5_d512_bn,0.771429181098938,0.03471905657433849,2.6459047198295593,1.1422888545728065,8.213060556469319,0.4153057000137632,5,280.4,39.3,1428,1790470,full_no_deltas,plain,gelu,batchnorm
bands_indices_plain_silu_L5_d512_bn,0.7711488127708435,0.054132837033661244,2.4545754678547382,1.0946113973482607,7.4075199565346335,0.7757460414718766,5,300.0,39.980000000000004,798,1467910,bands_indices,plain,silu,batchnorm
bands_indices_texture_plain_silu_L5_d256_bn,0.7674564242362976,0.03323289968926858,2.620959859341383,1.1207958645490579,8.326631959961764,0.3323521155560183,5,295.2,38.260000000000005,1368,617734,bands_indices_texture,plain,silu,batchnorm
bands_indices_plain_relu_L5_d512_bn,0.7660693526268005,0.05817246816377719,2.4884354509413242,1.1273207514036732,7.577329081311907,0.7204375596065834,5,300.0,38.96,798,1467910,bands_indices,plain,relu,batchnorm
bands_indices_residual_gelu_L10_d256_nonorm,0.7660449147224426,0.027609248755395586,2.507102321833372,1.0700022304235048,7.183099032259316,0.9455055906585823,5,281.6,70.82000000000001,798,2835206,bands_indices,residual,gelu,none
bands_indices_hog_plain_mish_L3_d512_bn,0.7623775959014892,0.038448943069176844,2.7043679170310497,1.2336038999903582,8.13235440630969,0.6022635235899917,5,291.2,28.68,1002,1044998,bands_indices_hog,plain,mish,batchnorm
bands_indices_glcm_lbp_plain_mish_L5_d256_bn,0.7615494728088379,0.07091394218125079,2.4446952156722546,1.0504450727984556,7.795819470839585,0.6140197067690951,5,300.0,38.78,924,504070,bands_indices_glcm_lbp,plain,mish,batchnorm
bands_indices_texture_plain_relu_L5_d256_bn,0.7611237645149231,0.048514836695745155,2.5975642167031765,1.1257945139729804,8.38513389108838,0.5692726438677367,5,295.8,38.519999999999996,1368,617734,bands_indices_texture,plain,relu,batchnorm
bands_indices_texture_plain_gelu_L3_d256_bn,0.7607426047325134,0.043898302497618655,2.666225600987673,1.1737732438317743,8.422846718030309,0.3611397189164165,5,287.2,28.060000000000002,1368,485126,bands_indices_texture,plain,gelu,batchnorm
bands_indices_texture_plain_gelu_L3_d512_bn,0.7604432821273803,0.03938395637575178,2.6763994805514812,1.2188672342290054,8.122451691758844,0.5835735110333684,5,285.0,27.96,1368,1232390,bands_indices_texture,plain,gelu,batchnorm
full_no_deltas_plain_mish_L5_d512,0.7590387225151062,0.04396047465748298,2.656443528831005,1.2080944690799345,7.426569412362463,0.9578821701395374,5,249.8,32.46,1428,1790470,full_no_deltas,plain,mish,layernorm
full_no_deltas_plain_silu_L5_d512_bn,0.7588699221611023,0.04707561501920574,2.616036646068096,1.1549244278252295,8.271270139030138,0.5663414367720592,5,276.2,38.7,1428,1790470,full_no_deltas,plain,silu,batchnorm
bands_indices_texture_plain_mish_L3_d512_bn,0.7571463227272034,0.032624727638488435,2.625647224485874,1.1749873385362462,7.984384982428563,0.6506105784540119,5,298.2,29.46,1368,1232390,bands_indices_texture,plain,mish,batchnorm
bands_indices_texture_plain_silu_L3_d512_bn,0.7567650198936462,0.0342923421442012,2.626678515225649,1.1585290128698695,8.108392127519295,0.7171290757099502,5,290.8,28.78,1368,1232390,bands_indices_texture,plain,silu,batchnorm
bands_indices_residual_mish_L12_d256_nonorm,0.7549987077713013,0.06738014465000636,2.4997510947287083,1.0931959732763752,6.955408025716079,1.0579289662159748,5,296.4,84.64,798,3361030,bands_indices,residual,mish,none
bands_indices_residual_gelu_L4_d256_bn,0.7529782891273499,0.06140641604204756,2.4902827106416225,1.0915439670024625,7.97427591577879,0.45505270896605654,5,300.0,48.96,798,1260294,bands_indices,residual,gelu,batchnorm
bands_indices_residual_mish_L10_d256_nonorm,0.751361894607544,0.05294178491432856,2.5166569277644157,1.112884135170595,7.058872658407071,0.987764395124054,5,300.0,75.76,798,2835206,bands_indices,residual,mish,none
bands_indices_hog_plain_silu_L3_d512_nonorm,0.7513208389282227,0.06164756007168345,2.670790273696184,1.1860730018470558,7.677394119891105,0.6685954893532381,5,251.0,20.259999999999998,1002,1041926,bands_indices_hog,plain,silu,none
bands_indices_texture_plain_gelu_L5_d512_bn,0.7500990271568299,0.058838118135431154,2.6229064725339413,1.1254923124641074,8.062751739588197,0.38434931324746996,5,285.8,38.260000000000005,1368,1759750,bands_indices_texture,plain,gelu,batchnorm
bands_indices_residual_relu_L4_d256_bn,0.7496532678604126,0.06291832543667093,2.4905068427324295,1.0835586355885676,7.539135303147049,0.673469707850615,5,300.0,49.019999999999996,798,1260294,bands_indices,residual,relu,batchnorm
full_no_deltas_plain_relu_L5_d512_bn,0.7474796533584595,0.06236890757589809,2.6232810877263546,1.1638799299523255,8.43206744396737,0.4343297791116567,5,273.4,38.660000000000004,1428,1790470,full_no_deltas,plain,relu,batchnorm
bands_indices_texture_residual_geglu_L6_d256_bn,0.7470433831214904,0.04874830110084066,2.6986930705606937,1.2016264153405785,8.039220753638363,0.7466486213567717,5,300.0,72.03999999999999,1368,2722566,bands_indices_texture,residual,geglu,batchnorm
bands_indices_residual_silu_L8_d256_bn,0.7470328688621521,0.08071520905083542,2.527698092162609,1.1240250076260132,7.5414339111952415,0.7775522350109008,5,300.0,82.08,798,2313990,bands_indices,residual,silu,batchnorm
bands_indices_glcm_lbp_residual_gelu_L12_d128_bn,0.7458312630653381,0.05917916383668921,2.5261288695037365,1.0839336667039472,7.912685997284439,0.4555810961913728,5,300.0,109.9,924,913542,bands_indices_glcm_lbp,residual,gelu,batchnorm
bands_indices_texture_plain_relu_L3_d256_bn,0.7455111622810364,0.03849786311857687,2.645710725337267,1.1411508254369669,8.388892376945794,0.28824950945618333,5,290.4,28.54,1368,485126,bands_indices_texture,plain,relu,batchnorm
bands_indices_glcm_lbp_residual_silu_L12_d128_bn,0.7448929905891418,0.06772169751373447,2.552637029439211,1.1326573388342227,7.832186365314634,0.5823183803923951,5,300.0,110.2,924,913542,bands_indices_glcm_lbp,residual,silu,batchnorm
bands_indices_residual_silu_L6_d512_bn_lr0.0005,0.744723665714264,0.07262440605038381,2.5204153545200825,1.082839942526621,8.05539347194831,0.6734715853762449,5,300.0,66.17999999999999,798,6720006,bands_indices,residual,silu,batchnorm
bands_indices_glcm_lbp_residual_mish_L12_d128_bn,0.7446020007133484,0.05556175684355377,2.525762226432562,1.107806806892131,7.747015842927692,0.6832919638439813,5,300.0,110.28,924,913542,bands_indices_glcm_lbp,residual,mish,batchnorm
full_no_deltas_plain_mish_L5_d512_bn,0.7444352388381958,0.06833875329255039,2.649516798555851,1.1765353786376593,8.312377041713317,0.5291804452864848,5,275.4,38.2,1428,1790470,full_no_deltas,plain,mish,batchnorm
full_no_deltas_plain_relu_L5_d512,0.7424138307571411,0.034209679741965676,2.6713171042501926,1.1800725953603854,7.440716328194741,1.030861479708183,5,247.6,32.17999999999999,1428,1790470,full_no_deltas,plain,relu,layernorm
all_full_plain_gelu_L3_d512_bn,0.7419437408447266,0.05583048975265026,2.7185445837676525,1.3015429125890354,7.770789944263771,0.9542402317434728,5,293.8,31.0,3534,2341382,all_full,plain,gelu,batchnorm
full_no_deltas_residual_mish_L6_d128_bn,0.7411996960639954,0.03087171979595871,2.6627817936241627,1.1724353260471647,8.348936372519397,0.671470820564797,5,292.6,69.4,1428,580998,full_no_deltas,residual,mish,batchnorm
bands_indices_plain_silu_L5_d512_nonorm,0.7401685833930969,0.12724502409162844,2.4554437212646008,1.0772091567248898,7.126584187640764,1.0894146471338806,5,292.0,28.419999999999998,798,1462790,bands_indices,plain,silu,none
bands_indices_residual_gelu_L6_d512_bn_lr0.0005,0.7363334894180298,0.07177696781755981,2.5097392313182354,1.0887411593985015,8.01496168441617,0.5424300478240867,5,300.0,65.53999999999999,798,6720006,bands_indices,residual,gelu,batchnorm
bands_indices_glcm_lbp_plain_silu_L5_d256_bn,0.7360494256019592,0.10091177971087345,2.475933004170656,1.0781255542750738,7.7585157306788375,0.6683954714634428,5,300.0,38.8,924,504070,bands_indices_glcm_lbp,plain,silu,batchnorm
bands_indices_glcm_lbp_plain_mish_L5_d512_nonorm,0.7342883229255677,0.13170723305038073,2.518916744738817,1.0843246677327851,7.425619941475084,0.7156331845559378,5,263.2,25.14,924,1527302,bands_indices_glcm_lbp,plain,mish,none
full_no_deltas_residual_silu_L6_d128_bn,0.7338800430297852,0.03256286854597673,2.72858340293169,1.2492694523367878,8.267007639992064,0.8156721675925019,5,296.8,70.08,1428,580998,full_no_deltas,residual,silu,batchnorm
bands_indices_glcm_lbp_residual_gelu_L6_d512_bn_lr0.0005,0.7328925490379333,0.09262792367966458,2.5592019595205784,1.0995955174289078,8.188737597428238,0.5129266812838718,5,300.0,65.24,924,6784518,bands_indices_glcm_lbp,residual,gelu,batchnorm
all_full_plain_mish_L3_d512_nonorm,0.7324633598327637,0.03929489569001952,2.814967278391123,1.3717094363668634,7.752594125224434,0.815277637154049,5,236.4,19.759999999999998,3534,2338310,all_full,plain,mish,none
full_no_deltas_residual_relu_L4_d256_bn,0.7323251962661743,0.04226244956151561,2.7318542636930943,1.223639745400577,8.473192646626694,0.46504987897127814,5,281.4,50.92,1428,1421574,full_no_deltas,residual,relu,batchnorm
bands_indices_hog_plain_gelu_L5_d512_bn,0.7317170023918151,0.03769534331239274,2.675130497664213,1.1741197030742696,8.542041195331276,0.7012939581364136,5,267.6,34.06,1002,1572358,bands_indices_hog,plain,gelu,batchnorm
full_no_deltas_plain_mish_L5_d256,0.7280283451080323,0.05413048439834181,2.682284712791443,1.1959109575134763,7.5678729249360375,0.8857476591071622,5,261.6,32.339999999999996,1428,633094,full_no_deltas,plain,mish,layernorm
bands_indices_hog_plain_silu_L5_d256_bn,0.7278804898262023,0.06959623121494615,2.6256206072866917,1.179464461328175,7.950293475440931,0.539695599201845,5,294.6,38.480000000000004,1002,524038,bands_indices_hog,plain,silu,batchnorm
bands_indices_hog_plain_mish_L5_d256_nonorm,0.7275568246841431,0.10634956690685984,2.6749669946730137,1.2164302749855742,7.86256323040993,0.7437226278467244,5,254.8,25.860000000000003,1002,521478,bands_indices_hog,plain,mish,none
bands_indices_hog_residual_geglu_L6_d128_bn,0.7274011373519897,0.028171024957614647,2.7324861846864223,1.2281231414599652,8.22046799490207,0.8319643062367833,5,298.0,69.78,1002,724614,bands_indices_hog,residual,geglu,batchnorm
