name,r2_mean,r2_std,mae_mean,mae_std,ait_mean,ait_std,n_folds,epochs_mean,elapsed_mean,n_features,n_params,feature_set,arch,activation,norm_type
bands_indices_glcm_lbp_plain_geglu_L3_d512,0.6401638984680176,,3.8336019963026047,,9.412794929661914,,1,2.0,0.2,924.0,2003974.0,bands_indices_glcm_lbp,plain,geglu,layernorm
bands_indices_glcm_lbp_residual_geglu_L12_d256,0.6325053572654724,,4.697699844837189,,9.615982696342318,,1,2.0,0.5,924.0,4978950.0,bands_indices_glcm_lbp,residual,geglu,layernorm
bands_indices_plain_geglu_L3_d512,0.6304090619087219,,4.270379617810249,,9.405852279500014,,1,2.0,0.2,798.0,1874950.0,bands_indices,plain,geglu,layernorm
bands_indices_residual_geglu_L10_d256,0.6271350979804993,,4.461508616805077,,9.748631544139624,,1,2.0,0.7,798.0,4156678.0,bands_indices,residual,geglu,layernorm
bands_indices_texture_residual_mish_L12_d256,0.6268307566642761,,4.5459747314453125,,9.635495164052596,,1,2.0,0.7,1368.0,3513606.0,bands_indices_texture,residual,mish,layernorm
bands_indices_residual_geglu_L6_d256,0.6150481700897217,,4.845455661416054,,9.72776669842363,,1,2.0,0.4,798.0,2576646.0,bands_indices,residual,geglu,layernorm
all_full_residual_geglu_L10_d256,0.6131072640419006,,4.847538471221924,,9.839811564515664,,1,2.0,0.6,3534.0,4857094.0,all_full,residual,geglu,layernorm
bands_indices_residual_geglu_L12_d256,0.6119670867919922,,5.072317644953728,,9.784841066345441,,1,2.0,0.8,798.0,4946694.0,bands_indices,residual,geglu,layernorm
bands_indices_residual_geglu_L8_d256,0.6103366613388062,,4.54159788787365,,9.742830413961864,,1,2.0,0.6,798.0,3366662.0,bands_indices,residual,geglu,layernorm
bands_indices_residual_mish_L12_d256,0.6097168922424316,,5.587897077202797,,9.756436320829192,,1,2.0,0.8,798.0,3367686.0,bands_indices,residual,mish,layernorm
all_full_residual_geglu_L6_d256,0.6083957552909851,,5.136742815375328,,9.677529657660017,,1,2.0,0.4,3534.0,3277062.0,all_full,residual,geglu,layernorm
bands_indices_residual_silu_L12_d256,0.604958713054657,,5.942190811038017,,9.879483987609397,,1,2.0,0.6,798.0,3367686.0,bands_indices,residual,silu,layernorm
bands_indices_glcm_lbp_residual_geglu_L8_d256,0.6037877798080444,,4.565298557281494,,9.598657994728796,,1,2.0,0.4,924.0,3398918.0,bands_indices_glcm_lbp,residual,geglu,layernorm
all_full_plain_gelu_L3_d512,0.6036709547042847,,4.688279703259468,,9.617009556671938,,1,2.0,0.2,3534.0,2341382.0,all_full,plain,gelu,layernorm
bands_indices_glcm_lbp_residual_geglu_L6_d256,0.6028552055358887,,4.348602518439293,,9.599973646919805,,1,2.0,0.4,924.0,2608902.0,bands_indices_glcm_lbp,residual,geglu,layernorm
all_full_plain_relu_L3_d512,0.6025589108467102,,4.893941059708595,,9.569281476316661,,1,2.0,0.2,3534.0,2341382.0,all_full,plain,relu,layernorm
full_no_deltas_residual_geglu_L10_d256,0.6003279089927673,,5.436030402779579,,9.74332102629374,,1,2.0,0.5,1428.0,4317958.0,full_no_deltas,residual,geglu,layernorm
all_full_residual_gelu_L8_d256_mix0.2,0.6002272963523865,,5.035008862614632,,10.126622337969476,,1,2.0,0.4,3534.0,3014406.0,all_full,residual,gelu,layernorm
