name,fold,feature_set,n_features,arch,r2_uniform,mae_mean_pp,best_val_loss,n_epochs,elapsed_s,n_train,n_test
bi_mLBP_only_plain_silu_L5_d1024_bn,0,bi_mLBP_only,1278,plain_L5_d1024,0.8643295168876648,2.6605986058712006,0.40971341729164124,672,80.81881976127625,16530,6100
bi_mLBP_only_plain_silu_L5_d1536_bn,0,bi_mLBP_only,1278,plain_L5_d1536,0.7928388118743896,2.600748836994171,0.40589213371276855,1185,135.2205457687378,16530,6100
bi_LBP_mLBP_plain_silu_L5_d1024_bn,0,bi_LBP_mLBP,1344,plain_L5_d1024,0.791450023651123,2.7168823406100273,0.4107554256916046,651,69.15508484840393,16530,6100
bi_LBP_mLBP_plain_silu_L5_d1536_bn,0,bi_LBP_mLBP,1344,plain_L5_d1536,0.7867867350578308,2.6415936648845673,0.40790697932243347,1143,128.7526159286499,16530,6100
bi_mLBP_only_plain_silu_L5_d1024_bn,1,bi_mLBP_only,1278,plain_L5_d1024,0.7531044483184814,3.5818777978420258,0.401034951210022,594,70.20492362976074,18731,6000
bi_mLBP_only_plain_silu_L5_d1536_bn,1,bi_mLBP_only,1278,plain_L5_d1536,0.7651920318603516,3.5551149398088455,0.4022618532180786,552,69.69146490097046,18731,6000
bi_LBP_mLBP_plain_silu_L5_d1024_bn,1,bi_LBP_mLBP,1344,plain_L5_d1024,0.7469837665557861,3.667904809117317,0.4025364816188812,544,64.3603286743164,18731,6000
bi_LBP_mLBP_plain_silu_L5_d1536_bn,1,bi_LBP_mLBP,1344,plain_L5_d1536,0.7639588713645935,3.537224233150482,0.4032641649246216,1201,152.58397793769836,18731,6000
bi_mLBP_only_plain_silu_L5_d1024_bn,2,bi_mLBP_only,1278,plain_L5_d1024,0.7340264916419983,1.7812136560678482,0.45373889803886414,536,63.246384382247925,18700,5866
bi_mLBP_only_plain_silu_L5_d1536_bn,2,bi_mLBP_only,1278,plain_L5_d1536,0.721157968044281,1.7080863937735558,0.4547562301158905,543,67.99689197540283,18700,5866
bi_LBP_mLBP_plain_silu_L5_d1024_bn,2,bi_LBP_mLBP,1344,plain_L5_d1024,0.7253246307373047,1.7984665930271149,0.45403578877449036,544,64.0590307712555,18700,5866
bi_LBP_mLBP_plain_silu_L5_d1536_bn,2,bi_LBP_mLBP,1344,plain_L5_d1536,0.739574134349823,1.7459763213992119,0.45534613728523254,537,66.6593930721283,18700,5866
bi_mLBP_only_plain_silu_L5_d1024_bn,3,bi_mLBP_only,1278,plain_L5_d1024,-0.20225006341934204,3.6019135266542435,0.3674589991569519,609,70.23286700248718,18655,5900
bi_mLBP_only_plain_silu_L5_d1536_bn,3,bi_mLBP_only,1278,plain_L5_d1536,0.06241047382354736,3.6786604672670364,0.3695696294307709,683,87.75073289871216,18655,5900
bi_LBP_mLBP_plain_silu_L5_d1024_bn,3,bi_LBP_mLBP,1344,plain_L5_d1024,0.6952300667762756,3.8263969123363495,0.36934682726860046,636,95.42202377319336,18655,5900
bi_LBP_mLBP_plain_silu_L5_d1536_bn,3,bi_LBP_mLBP,1344,plain_L5_d1536,0.7017176747322083,3.646334633231163,0.3694685995578766,683,112.21756100654602,18655,5900
bi_mLBP_only_plain_silu_L5_d1024_bn,4,bi_mLBP_only,1278,plain_L5_d1024,0.687690258026123,1.1897086165845394,0.5010403990745544,665,63.77429127693176,16326,6080
bi_mLBP_only_plain_silu_L5_d1536_bn,4,bi_mLBP_only,1278,plain_L5_d1536,0.7707805633544922,1.176014170050621,0.501441478729248,657,68.15063834190369,16326,6080
bi_LBP_mLBP_plain_silu_L5_d1024_bn,4,bi_LBP_mLBP,1344,plain_L5_d1024,0.7581565976142883,1.2157944031059742,0.5036372542381287,665,61.74665641784668,16326,6080
bi_LBP_mLBP_plain_silu_L5_d1536_bn,4,bi_LBP_mLBP,1344,plain_L5_d1536,0.8144887089729309,1.1846903711557388,0.5045523047447205,643,66.41076898574829,16326,6080
