model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.7667310833930969,0.9196612238883972,2.839513123035431,6.326361745595932,8.096093095266875,0.9413490891456604,0.8379048109054565,0.8324538469314575,0.9522432088851929,0.20520371198654175,0.8312220573425293,5.256480723619461,4.11297045648098,2.034233696758747,4.9872372299432755,0.3023813245818019,0.3437884384766221,100.0,100.0,100.0,1.0,6.782678951822163e-08,best5_residual_silu_L12_d256_bn,0,v5_5_arch,best5,residual,silu,batchnorm,12,256,deep,0.001,633,777,238.5
model,0.7573006749153137,0.9215638637542725,2.7621233835816383,6.277018040418625,8.427111335871235,0.9477123022079468,0.8474010825157166,0.8276312351226807,0.9503614902496338,0.1438242793083191,0.8268662691116333,5.008066818118095,3.84569875895977,1.99215617030859,4.98838983476162,0.34521399065852165,0.39323363453149796,100.0,100.0,100.0,1.0,6.954386577717742e-08,best5_residual_silu_L16_d256_bn_lr0.0005,0,v5_5_arch,best5,residual,silu,batchnorm,16,256,deep,0.0005,633,744,276.0
model,0.7666341662406921,0.916336715221405,2.8608469292521477,6.4461879432201385,7.9241814407465965,0.9395224452018738,0.8389837741851807,0.8173092007637024,0.9485412836074829,0.22910934686660767,0.8263263702392578,5.341559275984764,3.901979699730873,2.107362262904644,5.145711824297905,0.3270708955824375,0.341385742649436,100.0,100.0,100.0,1.0,6.889599291071136e-08,best5_residual_silu_L20_d256_bn_lr0.0005,0,v5_5_arch,best5,residual,silu,batchnorm,20,256,deep,0.0005,633,821,365.4
model,0.7979912161827087,0.9241747260093689,2.7293620631098747,6.132751330733299,8.235864984066588,0.9477276802062988,0.8487594127655029,0.8267562389373779,0.9541218280792236,0.3789428472518921,0.8316230773925781,4.953679442405701,3.7927191704511642,2.0589126273989677,4.8600733280181885,0.3091470105573535,0.40164091624319553,100.0,100.0,100.0,1.0,6.890867609854467e-08,best5_plain_silu_L5_d1024_bn,0,v5_5_arch,best5,plain,silu,batchnorm,5,1024,wide,0.001,633,659,68.9
model,0.7788717150688171,0.9184034466743469,2.8134427964687347,6.362432986497879,8.265813736234328,0.9404058456420898,0.8426256775856018,0.8182605504989624,0.9508808255195618,0.29549068212509155,0.8255575895309448,5.182523280382156,3.862582892179489,2.075674384832382,5.076226592063904,0.30561075545847416,0.3780434373766184,100.0,100.0,100.0,1.0,7.080950581439538e-08,best5_plain_silu_L5_d2048_bn_lr0.0005,0,v5_5_arch,best5,plain,silu,batchnorm,5,2048,wide,0.0005,633,675,97.4
model,0.7655026316642761,0.916584849357605,2.8423747047781944,6.472707539796829,8.455641191834108,0.9426894783973694,0.8330286145210266,0.8250959515571594,0.9485412836074829,0.27871280908584595,0.7649355530738831,5.242285504937172,3.929673135280609,1.9824819639325142,5.116209760308266,0.3125129034742713,0.47109946608543396,100.0,100.0,100.0,1.0,6.832726739958161e-08,best5_residual_silu_L10_d1024_bn_lr0.0005,0,v5_5_arch,best5,residual,silu,batchnorm,10,1024,deep+wide,0.0005,633,729,250.8
model,0.8158103823661804,0.9246412515640259,2.778836339712143,6.081518530845642,8.735646174667645,0.9469336271286011,0.8428054451942444,0.8408979177474976,0.9539769887924194,0.47608381509780884,0.8341546654701233,5.07625974714756,3.8475994020700455,1.9816113635897636,5.028347671031952,0.34019434824585915,0.3990261349827051,100.0,100.0,100.0,1.0,6.97654485293242e-08,best5_residual_silu_L11_d1024_bn_lr0.0005,0,v5_5_arch,best5,residual,silu,batchnorm,11,1024,deep+wide,0.0005,633,668,256.9
model,0.8054816126823425,0.9200572967529297,2.858993224799633,6.2768347561359406,8.44246381141215,0.942001461982727,0.8445224761962891,0.838452935218811,0.9485924243927002,0.46202516555786133,0.7972813844680786,5.233472585678101,3.7334561347961426,2.012341283261776,5.310559272766113,0.3495113458484411,0.5146178882569075,100.0,100.0,100.0,1.0,6.927115947519269e-08,best5_residual_silu_L12_d1024_bn_lr0.0005,0,v5_5_arch,best5,residual,silu,batchnorm,12,1024,deep+wide,0.0005,633,741,322.6
model,0.7919204831123352,0.9299169778823853,2.6448985561728477,5.9255201369524,7.914110766551307,0.9478512406349182,0.8641200065612793,0.8661544322967529,0.956075131893158,0.2880326509475708,0.8292771577835083,4.988554492592812,3.7158306688070297,1.7813250422477722,4.757677391171455,0.2785415621474385,0.34747531171888113,100.0,100.0,100.0,1.0,6.93089816650172e-08,best5_v2_residual_silu_L12_d256_bn,0,v5_5_arch,best5_v2,residual,silu,batchnorm,12,256,deep,0.001,813,727,233.4
model,0.7867164611816406,0.926035463809967,2.709985338151455,6.068838015198708,7.98578712750294,0.9454274773597717,0.8625630140304565,0.8614955544471741,0.9504462480545044,0.2705857753753662,0.8297699689865112,5.092579498887062,3.640882298350334,1.8172020092606544,5.066933482885361,0.3182472428306937,0.32407615799456835,100.0,100.0,100.0,1.0,7.007364644096015e-08,best5_v2_residual_silu_L16_d256_bn_lr0.0005,0,v5_5_arch,best5_v2,residual,silu,batchnorm,16,256,deep,0.0005,813,783,314.5
