model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,lr,n_features,epochs,elapsed_s
model,0.8312017321586609,0.9336077570915222,2.570935897529125,5.72437196969986,7.949561415275974,0.9522427916526794,0.8688021302223206,0.8658744096755981,0.9575855135917664,0.4981226921081543,0.8445568084716797,4.782763868570328,3.49770225584507,1.839497871696949,4.726819694042206,0.2843391615897417,0.2944823121652007,100.0,100.0,100.0,1.0,6.97153410555984e-08,bands_indices_plain_mish_L5_d512_bn,0,v5_deep,bands_indices,plain,mish,batchnorm,5,512,0.001,798,704,74.1
model,0.8608360290527344,0.9297070503234864,2.6001282036304474,5.814756080508232,7.462103385517475,0.94720858335495,0.8526872396469116,0.8591587543487549,0.9574156403541564,0.7237492799758911,0.8247838020324707,4.9282256513834,3.71108241379261,1.7278090119361875,4.713462293148041,0.2113831229507923,0.3088371362537145,100.0,100.0,100.0,1.0,6.779242767152027e-08,bands_indices_residual_silu_L10_d256_nonorm,0,v5_deep,bands_indices,residual,silu,none,10,256,0.001,798,683,130.1
model,0.8226262927055359,0.92839252948761,2.6071086525917053,5.935951694846153,7.445429756104559,0.9501476287841796,0.8538497686386108,0.839207112789154,0.9567896723747252,0.4931008815765381,0.8426526188850403,4.768213629722595,3.555372729897499,1.997099071741104,4.778458550572395,0.256243092007935,0.287280254997313,100.0,100.0,100.0,1.0,7.005702684637073e-08,bands_indices_plain_silu_L5_d512_nonorm,0,v5_deep,bands_indices,plain,silu,none,5,512,0.001,798,647,48.2
model,0.7886099815368652,0.9305866360664368,2.566664665937424,5.8914851397275925,7.553645854942392,0.9505889415740968,0.8608783483505249,0.8646003007888794,0.9563197493553162,0.2500555515289306,0.8492056727409363,4.790788516402245,3.5599369555711746,1.7892329022288322,4.7399017959833145,0.2535993233323097,0.2665291773155331,100.0,100.0,100.0,1.0,6.870128999025837e-08,bands_indices_plain_silu_L5_d512_bn,0,v5_deep,bands_indices,plain,silu,batchnorm,5,512,0.001,798,794,80.1
model,0.821721076965332,0.9285627603530884,2.644112706184387,5.939389765262604,7.866801864914001,0.9495843052864076,0.8623964786529541,0.8401496410369873,0.9553182721138,0.4907838702201843,0.8320762515068054,4.866913333535194,3.585942089557648,2.0367566496133804,4.7936540096998215,0.2789868274703622,0.3024338046088815,100.0,100.0,100.0,1.0,6.949779418619073e-08,bands_indices_residual_silu_L6_d512_bn_lr0.0005,0,v5_deep,bands_indices,residual,silu,batchnorm,6,512,0.0005,798,856,146.9
model,0.8007466793060303,0.9302188754081726,2.616599760949612,5.910114943981171,7.908965107447474,0.9508014917373656,0.8642051219940186,0.8448635935783386,0.9578291773796082,0.3529271483421325,0.8338397145271301,4.800909385085106,3.563863411545753,2.0712994039058685,4.705507308244705,0.2446817699819803,0.3133244812488556,100.0,100.0,100.0,1.0,6.925434092863726e-08,bands_indices_residual_gelu_L12_d256_bn,0,v5_deep,bands_indices,residual,gelu,batchnorm,12,256,0.001,798,820,197.9
model,0.8331052660942078,0.9264258742332458,2.661028318107128,5.990081652998924,7.500554164647839,0.9470567107200624,0.8577477931976318,0.8461180925369263,0.9519575834274292,0.5630844831466675,0.8326550722122192,4.9428436905145645,3.613390401005745,1.926625333726406,4.963867366313934,0.2303691813722252,0.2890713745728135,100.0,100.0,100.0,1.0,6.839542265879572e-08,bands_indices_residual_silu_L12_d256_nonorm,0,v5_deep,bands_indices,residual,silu,none,12,256,0.001,798,694,141.1
model,0.8388057351112366,0.928530216217041,2.612181566655636,5.908371135592461,7.501438872714927,0.947885513305664,0.8550273180007935,0.8434767127037048,0.9572890400886536,0.597992479801178,0.8311493992805481,4.845446348190308,3.630857542157173,1.929749920964241,4.680269956588745,0.2817854052409529,0.3049799706786871,100.0,100.0,100.0,1.0,7.028941695352843e-08,bands_indices_residual_mish_L12_d256_bn,0,v5_deep,bands_indices,residual,mish,batchnorm,12,256,0.001,798,839,250.9
model,0.861024796962738,0.932206392288208,2.59218942373991,5.728915706276894,8.207076515394698,0.94781893491745,0.8684465885162354,0.8695082664489746,0.9565313458442688,0.7077234983444214,0.8161073923110962,4.891262203454971,3.531191125512123,1.7678797245025637,4.747135192155838,0.2611123723909259,0.3545749932527542,100.0,100.0,100.0,1.0,6.926695306219699e-08,bands_indices_residual_gelu_L16_d256_bn_lr0.0005,0,v5_deep,bands_indices,residual,gelu,batchnorm,16,256,0.0005,798,733,288.2
model,0.8323709964752197,0.9281094670295716,2.6416366919875145,5.94312846660614,7.330260016633412,0.948467254638672,0.8589577078819275,0.8480203151702881,0.9545751810073853,0.5685753226280212,0.8156185746192932,4.918654635548592,3.60235795378685,1.8850762397050855,4.878433421254158,0.2452931832522153,0.3200150094926357,100.0,100.0,100.0,1.0,6.88664059111943e-08,bands_indices_residual_silu_L16_d256_nonorm_lr0.0005,0,v5_deep,bands_indices,residual,silu,none,16,256,0.0005,798,711,209.4
model,-5.0425124168396,-0.7009941935539246,23.938606679439545,28.21919023990631,14.313275130485694,-0.2337585687637329,-0.1488852500915527,-0.5593739748001099,-0.9272626638412476,-23.20857048034668,-5.176448345184326,28.181663155555725,18.2891309261322,18.63912343978882,44.36472952365875,16.94217473268509,17.21760183572769,100.0,100.0,100.0,1.0,8.500922632492802e-08,bands_indices_plain_geglu_L5_d256_nonorm,0,v5_deep,bands_indices,plain,geglu,none,5,256,0.001,798,558,46.5
model,-4.828451633453369,-0.6620571613311768,23.59517365694046,27.89224684238434,14.246737130548892,-0.2177692651748657,-0.1445273160934448,-0.51233971118927,-0.8739118576049805,-22.22774887084961,-4.99555778503418,28.091180324554443,18.13587248325348,18.115706741809845,43.85126233100891,16.501471400260925,16.874080896377563,100.0,100.0,100.0,1.0,5.0072788582156136e-08,bands_indices_plain_geglu_L5_d512_nonorm,0,v5_deep,bands_indices,plain,geglu,none,5,512,0.001,798,559,49.1
model,0.2085697501897812,0.6497402787208557,7.093734294176102,12.963888049125671,10.66476528858434,0.653038501739502,0.543123722076416,-0.1015924215316772,0.8528059720993042,-0.8944628238677979,0.1984627246856689,12.654678523540497,6.844455748796463,9.2081718146801,8.94927978515625,2.0518187433481216,2.854020893573761,100.0,100.0,100.0,1.0,6.62103900594957e-08,bands_indices_residual_geglu_L6_d256_nonorm,0,v5_deep,bands_indices,residual,geglu,none,6,256,0.001,798,559,78.5
model,-0.0416534133255481,0.5747147798538208,8.13497081398964,14.220227301120758,10.987414588629736,0.4945982694625854,0.4444153904914856,-0.2037791013717651,0.8708646893501282,-1.771265745162964,-0.0848157405853271,16.064538061618805,7.458943873643875,9.833403676748276,8.345608413219452,2.9394783079624176,4.167907312512398,100.0,100.0,100.0,1.0,6.849752764992445e-08,bands_indices_residual_geglu_L6_d512_nonorm,0,v5_deep,bands_indices,residual,geglu,none,6,512,0.001,798,557,80.9
model,0.5811511874198914,0.8374080657958984,4.412093386054039,8.997660130262375,9.45499803818157,0.8671213388442993,0.6831771731376648,0.652312159538269,0.9137333631515504,-0.1641464233398437,0.5346832275390625,8.067470788955688,5.595291405916214,3.999258205294609,6.758774071931839,0.8193252608180046,1.2324586510658264,100.0,100.0,100.0,1.0,6.827183796076497e-08,bands_indices_residual_geglu_L4_d256_nonorm,0,v5_deep,bands_indices,residual,geglu,none,4,256,0.001,798,562,61.5
model,0.2355270236730575,0.6979514360427856,6.406238675117493,12.066999822854996,9.830556322634184,0.7163561582565308,0.4727436900138855,0.2455815076828003,0.8592164516448975,-1.465254545211792,0.5844966769218445,12.117279320955276,6.953763961791992,6.367789208889008,9.059954434633257,2.022901177406311,1.9157776609063148,100.0,100.0,100.0,1.0,6.690604692494162e-08,bands_indices_residual_geglu_L10_d256_nonorm,0,v5_deep,bands_indices,residual,geglu,none,10,256,0.001,798,560,113.7
model,0.8147404789924622,0.9237003922462464,2.7042271569371223,6.112382933497429,7.597416663821567,0.94279944896698,0.8463638424873352,0.8423976302146912,0.953672170639038,0.4635985493659973,0.8395968675613403,5.117689818143845,3.707302734255791,1.88167542219162,4.973555728793144,0.2380199497565627,0.3071134677156806,100.0,100.0,100.0,1.0,7.055819395418439e-08,bands_indices_residual_geglu_L6_d256,0,v5_deep,bands_indices,residual,geglu,layernorm,6,256,0.001,798,598,108.7
model,0.7822861075401306,0.9263466000556946,2.63314675539732,6.064212694764137,7.695887464796571,0.948919951915741,0.8574546575546265,0.834259033203125,0.9546802043914796,0.2496342658996582,0.8487529754638672,4.911922290921211,3.5730578005313878,1.8706047907471657,4.875736311078072,0.2977055730298161,0.2698531839996576,100.0,100.0,100.0,1.0,6.97779682923283e-08,bands_indices_plain_silu_L5_d1024_bn,0,v5_deep,bands_indices,plain,silu,batchnorm,5,1024,0.001,798,715,83.5
model,0.8160498142242432,0.925813853740692,2.625430189073086,6.043760478496552,7.241679716766385,0.9472757577896118,0.8487406969070435,0.8562846779823303,0.952248513698578,0.4726258516311645,0.8191115856170654,4.865117743611336,3.653274103999138,1.8007149919867516,4.8698339611291885,0.2541365334764123,0.3095153486356139,100.0,100.0,100.0,1.0,6.856551948430933e-08,bands_indices_residual_gelu_L6_d1024_nonorm_lr0.0005,0,v5_deep,bands_indices,residual,gelu,none,6,1024,0.0005,798,642,132.4
model,0.8531444668769836,0.9299302697181702,2.6001622900366783,5.819689854979515,7.7137321133732835,0.9474292993545532,0.8596495389938354,0.8629968762397766,0.9551408290863036,0.6587182283401489,0.8349135518074036,4.936826601624489,3.5768337547779083,1.754132658243179,4.776249080896378,0.2329673152416944,0.323964050039649,100.0,100.0,100.0,1.0,6.856551948430933e-08,bands_indices_residual_silu_L6_d1024_bn_lr0.0005,0,v5_deep,bands_indices,residual,silu,batchnorm,6,1024,0.0005,798,833,198.1
model,0.855187714099884,0.929161787033081,2.6770785450935364,5.835994705557823,8.160511776751006,0.9438391327857972,0.8666545152664185,0.865001916885376,0.9535000324249268,0.6595355868339539,0.8425810933113098,5.096504092216492,3.639917448163033,1.821284368634224,4.948807135224342,0.2479552524164319,0.3080057445913553,100.0,100.0,100.0,1.0,6.918281769685565e-08,bands_indices_glcm_lbp_plain_mish_L5_d512_bn,0,v5_deep,bands_indices_glcm_lbp,plain,mish,batchnorm,5,512,0.001,924,670,83.0
model,0.8006371855735779,0.9213821887969972,2.730797231197357,6.226721033453941,7.568985048966974,0.9460012316703796,0.8414814472198486,0.8278641700744629,0.9508641958236694,0.4122318625450134,0.8253700733184814,4.937198385596275,3.907319530844688,2.0242437720298767,4.923290759325028,0.2741731936112046,0.318561471067369,100.0,100.0,100.0,1.0,6.830168786109425e-08,bands_indices_glcm_lbp_residual_silu_L10_d256_nonorm,0,v5_deep,bands_indices_glcm_lbp,residual,silu,none,10,256,0.001,924,653,156.5
model,0.7983601689338684,0.9274324774742126,2.6467010378837585,6.006786227226257,7.4891413806535425,0.9471988081932068,0.8545964360237122,0.8538295030593872,0.955329179763794,0.3436762690544128,0.8355221748352051,4.951513931155205,3.645458444952965,1.8738383427262304,4.8456549644470215,0.2697986783459782,0.2939492464065552,100.0,100.0,100.0,1.0,6.877331060195503e-08,bands_indices_glcm_lbp_plain_silu_L5_d512_nonorm,0,v5_deep,bands_indices_glcm_lbp,plain,silu,none,5,512,0.001,924,617,59.4
model,0.8560657501220703,0.9314491748809814,2.577936463057995,5.756514146924019,7.886183206990991,0.9511641263961792,0.8609118461608887,0.860795259475708,0.9554523825645448,0.6666350364685059,0.8414152264595032,4.823143035173416,3.5273008048534398,1.7936049029231071,4.7789983451366425,0.2419349271804094,0.3026428865268826,100.0,100.0,100.0,1.0,6.978631716947349e-08,bands_indices_glcm_lbp_plain_silu_L5_d512_bn,0,v5_deep,bands_indices_glcm_lbp,plain,silu,batchnorm,5,512,0.001,924,703,88.0
model,0.7740724086761475,0.9268096685409546,2.6458365842700005,6.067066267132759,7.7423597214351645,0.9456592798233032,0.8571147322654724,0.8612802624702454,0.9546040296554564,0.206309974193573,0.8194535970687866,4.935924708843231,3.7224918603897095,1.8295632675290108,4.8117876052856445,0.2556963125243783,0.3195612458512187,100.0,100.0,100.0,1.0,6.990722312139043e-08,bands_indices_glcm_lbp_residual_silu_L6_d512_bn_lr0.0005,0,v5_deep,bands_indices_glcm_lbp,residual,silu,batchnorm,6,512,0.0005,924,867,181.8
model,0.8226339221000671,0.92874938249588,2.698556892573833,5.91573528945446,8.33052449329594,0.9457058310508728,0.8613768219947815,0.8660392165184021,0.954123079776764,0.4712718725204468,0.837274968624115,5.13908714056015,3.65864597260952,1.850163005292416,4.925373941659927,0.2841259352862835,0.3339428454637527,100.0,100.0,100.0,1.0,6.924172168965016e-08,bands_indices_glcm_lbp_residual_gelu_L12_d256_bn,0,v5_deep,bands_indices_glcm_lbp,residual,gelu,batchnorm,12,256,0.001,924,700,248.6
model,0.7686260342597961,0.9220443964004515,2.7350232005119324,6.242002546787262,7.570847316737565,0.9436290860176086,0.8492403626441956,0.8531336188316345,0.9491329193115234,0.1988801956176757,0.8177313804626465,5.106678605079651,3.7374917417764655,1.8808592110872269,5.04269152879715,0.3161373548209667,0.3263023216277361,100.0,100.0,100.0,1.0,6.806251207081004e-08,bands_indices_glcm_lbp_residual_silu_L12_d256_nonorm,0,v5_deep,bands_indices_glcm_lbp,residual,silu,none,12,256,0.001,924,641,172.4
model,0.7850642204284668,0.9287694692611694,2.614164911210537,5.964305624365807,7.932252492418257,0.9497816562652588,0.8638312816619873,0.870093047618866,0.9513333439826964,0.2394444346427917,0.83589106798172,4.871147871017456,3.580927848815918,1.780839078128338,4.847821220755577,0.2859234809875488,0.3183217253535986,100.0,100.0,100.0,1.0,7.027283999150313e-08,bands_indices_glcm_lbp_residual_mish_L12_d256_bn,0,v5_deep,bands_indices_glcm_lbp,residual,mish,batchnorm,12,256,0.001,924,715,226.2
