name,r2_mean,r2_std,mae_mean,epochs_mean,folds,feature_set,arch,activation
bands_indices_glcm_lbp_plain_silu_L5_d1024_bn,0.7871481657028199,0.040940462345308036,2.512298207730055,653.6,5,bands_indices_glcm_lbp,plain,silu
bands_indices_plain_mish_L5_d512_bn,0.7693789720535278,0.06520971321899312,2.485340591520071,699.6,5,bands_indices,plain,mish
bands_indices_glcm_lbp_residual_gelu_L12_d256_bn,0.7682499051094055,0.036162584928898456,2.565342839807272,645.8,5,bands_indices_glcm_lbp,residual,gelu
bands_indices_residual_silu_L10_d256_nonorm,0.7677142500877381,0.05440793593887354,2.513763103634119,647.0,5,bands_indices,residual,silu
bands_indices_glcm_lbp_residual_gelu_L16_d256_bn_lr0.0005,0.7624202966690063,0.03804093553197888,2.5579367391765118,661.4,5,bands_indices_glcm_lbp,residual,gelu
full_no_deltas_plain_mish_L5_d512_bn,0.7616258978843689,0.040062309866580735,2.6656909473240376,608.0,5,full_no_deltas,plain,mish
full_no_deltas_plain_silu_L5_d512_bn,0.7582730293273926,0.04997450122176781,2.652312684804201,624.2,5,full_no_deltas,plain,silu
bands_indices_residual_gelu_L12_d256_bn,0.7567435503005981,0.06031925132154689,2.5078153423964977,734.0,5,bands_indices,residual,gelu
bands_indices_residual_silu_L16_d256_nonorm_lr0.0005,0.7520338296890259,0.06530252868127098,2.507630456238985,660.4,5,bands_indices,residual,silu
bands_indices_glcm_lbp_residual_silu_L6_d1024_bn_lr0.0005,0.748505461215973,0.06848010730443223,2.5920696556568146,644.8,5,bands_indices_glcm_lbp,residual,silu
bands_indices_plain_silu_L5_d1024_bn,0.7464684963226318,0.04563875320107811,2.559049427509308,691.0,5,bands_indices,plain,silu
full_no_deltas_plain_silu_L5_d1024_bn,0.7448401808738708,0.03993836771262044,2.6751053892076015,593.4,5,full_no_deltas,plain,silu
full_no_deltas_residual_mish_L12_d256_bn,0.7429478526115417,0.023617459041433496,2.75901036337018,612.6,5,full_no_deltas,residual,mish
bands_indices_residual_geglu_L6_d256,0.7419690251350403,0.07113657422432047,2.618833240121603,588.0,5,bands_indices,residual,geglu
bands_indices_residual_gelu_L16_d256_bn_lr0.0005,0.7410935759544373,0.07524693753483036,2.504906188696623,724.0,5,bands_indices,residual,gelu
full_no_deltas_residual_gelu_L16_d256_bn_lr0.0005,0.7400242447853088,0.040933246879421854,2.747803535312414,596.6,5,full_no_deltas,residual,gelu
bands_indices_glcm_lbp_residual_silu_L16_d256_nonorm_lr0.0005,0.7383464574813843,0.0382633651030123,2.5489256344735622,626.4,5,bands_indices_glcm_lbp,residual,silu
bands_indices_glcm_lbp_residual_silu_L6_d512_bn_lr0.0005,0.7368552088737488,0.037148945627582024,2.5807305239140987,712.4,5,bands_indices_glcm_lbp,residual,silu
full_no_deltas_residual_silu_L6_d1024_bn_lr0.0005,0.7362319588661194,0.051070728555953376,2.754299156367779,633.4,5,full_no_deltas,residual,silu
bands_indices_residual_silu_L6_d512_bn_lr0.0005,0.7345540165901184,0.0708454011357425,2.5478546880185604,762.0,5,bands_indices,residual,silu
bands_indices_residual_gelu_L6_d1024_nonorm_lr0.0005,0.7339945912361145,0.05886369326579345,2.5563604198396206,603.8,5,bands_indices,residual,gelu
full_no_deltas_residual_gelu_L12_d256_bn,0.7324032664299012,0.020993239742045554,2.780692968517542,586.4,5,full_no_deltas,residual,gelu
bands_indices_glcm_lbp_plain_mish_L5_d512_bn,0.7321670532226563,0.0974310154386895,2.5142970867455006,653.4,5,bands_indices_glcm_lbp,plain,mish
bands_indices_residual_silu_L6_d1024_bn_lr0.0005,0.7317044734954834,0.0900974163298113,2.5559648871421814,741.2,5,bands_indices,residual,silu
bands_indices_glcm_lbp_residual_geglu_L6_d256,0.7313440561294555,0.05122547682378475,2.600273322314024,566.2,5,bands_indices_glcm_lbp,residual,geglu
bands_indices_glcm_lbp_plain_silu_L5_d512_bn,0.7292415499687195,0.15222891734490862,2.5034923292696476,656.0,5,bands_indices_glcm_lbp,plain,silu
bands_indices_plain_silu_L5_d512_bn,0.7274490058422088,0.13177505979053325,2.4352811463177204,718.8,5,bands_indices,plain,silu
full_no_deltas_residual_silu_L16_d256_nonorm_lr0.0005,0.7260166049003601,0.04586754514233343,2.720952294766903,589.0,5,full_no_deltas,residual,silu
full_no_deltas_residual_silu_L6_d512_bn_lr0.0005,0.7232474684715271,0.04188825283826874,2.7567497827112675,606.4,5,full_no_deltas,residual,silu
full_no_deltas_residual_silu_L10_d256_nonorm,0.722433340549469,0.04977915536266335,2.7294873259961605,569.2,5,full_no_deltas,residual,silu
full_no_deltas_residual_silu_L12_d256_nonorm,0.7211688160896301,0.04010430762987662,2.7101260982453823,574.2,5,full_no_deltas,residual,silu
bands_indices_glcm_lbp_residual_silu_L12_d256_nonorm,0.7169828772544861,0.07929119070913022,2.5481468997895718,608.8,5,bands_indices_glcm_lbp,residual,silu
bands_indices_residual_mish_L12_d256_bn,0.7163516640663147,0.09194792582667134,2.626772914081812,738.0,5,bands_indices,residual,mish
bands_indices_glcm_lbp_residual_silu_L10_d256_nonorm,0.7142719149589538,0.11149650777518086,2.613243069499731,607.0,5,bands_indices_glcm_lbp,residual,silu
bands_indices_residual_silu_L12_d256_nonorm,0.7074551463127137,0.11547088918108292,2.5841270945966244,637.4,5,bands_indices,residual,silu
full_no_deltas_residual_geglu_L6_d256,0.7023295283317565,0.07743984607284538,2.786717899143696,558.4,5,full_no_deltas,residual,geglu
full_no_deltas_residual_gelu_L6_d1024_nonorm_lr0.0005,0.6992254376411438,0.04483643625540042,2.7900837920606136,561.8,5,full_no_deltas,residual,gelu
bands_indices_glcm_lbp_residual_mish_L12_d256_bn,0.6991599082946778,0.08224252605567635,2.5507832504808903,681.6,5,bands_indices_glcm_lbp,residual,mish
bands_indices_plain_silu_L5_d512_nonorm,0.6930933833122254,0.16794947168081917,2.560248449444771,622.0,5,bands_indices,plain,silu
bands_indices_glcm_lbp_plain_silu_L5_d512_nonorm,0.69215686917305,0.15617384519646402,2.537027057260275,586.6,5,bands_indices_glcm_lbp,plain,silu
bands_indices_glcm_lbp_residual_gelu_L6_d1024_nonorm_lr0.0005,0.6881054401397705,0.06320168274348034,2.564645241945982,584.4,5,bands_indices_glcm_lbp,residual,gelu
full_no_deltas_plain_silu_L5_d512_nonorm,0.6680133163928985,0.19118443892130874,2.749572563916445,563.0,5,full_no_deltas,plain,silu
bands_indices_glcm_lbp_residual_geglu_L4_d256_nonorm,0.5917525887489319,,4.281867668032646,561.0,1,bands_indices_glcm_lbp,residual,geglu
full_no_deltas_residual_geglu_L6_d512_nonorm,0.5129469037055969,,5.860507860779762,559.0,1,full_no_deltas,residual,geglu
bands_indices_residual_geglu_L4_d256_nonorm,0.5122983753681183,0.09737258061114316,5.4439602419734,533.0,2,bands_indices,residual,geglu
full_no_deltas_residual_geglu_L4_d256_nonorm,0.5036211609840393,,4.934779182076454,559.0,1,full_no_deltas,residual,geglu
bands_indices_glcm_lbp_residual_geglu_L6_d256_nonorm,0.4556317329406738,,6.064042821526527,560.0,1,bands_indices_glcm_lbp,residual,geglu
full_no_deltas_residual_geglu_L6_d256_nonorm,0.4433103501796722,,5.424467846751213,559.0,1,full_no_deltas,residual,geglu
bands_indices_residual_geglu_L10_d256_nonorm,0.2355270236730575,,6.406238675117493,560.0,1,bands_indices,residual,geglu
bands_indices_residual_geglu_L6_d512_nonorm,0.16395477019250393,0.29077388166612544,7.530594989657402,530.0,2,bands_indices,residual,geglu
