model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,feature_set,arch,activation,norm_type,n_layers,d_model,arch_family,lr,n_features,epochs,elapsed_s
model,0.8106179237365723,0.9262509346008301,2.6684321463108063,6.0346972197294235,7.870139429551018,0.946138322353363,0.8562822341918945,0.8406968712806702,0.9547135233879089,0.42848116159439087,0.8373798727989197,4.967105388641357,3.666847199201584,1.9207188859581947,4.893739148974419,0.2543339738622308,0.30785370618104935,100.0,100.0,100.0,1.0,6.896781457044199e-08,bi_glcm_morph_plain_silu_L5_d1024_bn,0,v6,bi_glcm_morph,plain,silu,batchnorm,5,1024,wide,0.001,1083,713,80.4
model,0.7875630259513855,0.9268699884414673,2.6256484910845757,6.0567159205675125,7.741871150791388,0.9480030536651611,0.8577873110771179,0.8351167440414429,0.9567655920982361,0.3028307557106018,0.8248591423034668,4.857359826564789,3.644700348377228,1.936461590230465,4.733055084943771,0.2566337585449219,0.32568813767284155,100.0,100.0,100.0,1.0,6.902268268049738e-08,bi_glcm_morph_plain_silu_L5_d512_bn,0,v6,bi_glcm_morph,plain,silu,batchnorm,5,512,v5_champion,0.001,1083,715,78.9
model,0.7995249629020691,0.9243699312210083,2.7503391727805138,6.150117516517639,7.839653013524156,0.9413613677024841,0.8634737730026245,0.8411605954170227,0.9540297389030457,0.4172952175140381,0.7798159122467041,5.218200758099556,3.784777596592903,1.9662519916892052,4.941904544830322,0.2377282129600644,0.353180686943233,100.0,100.0,100.0,1.0,6.851028189203134e-08,bi_glcm_morph_residual_silu_L10_d256_nonorm,0,v6,bi_glcm_morph,residual,silu,none,10,256,v5_champion,0.001,1083,627,128.5
model,0.7670871615409851,0.9273531436920166,2.6310982182621956,6.069312617182732,7.8544237161585135,0.947622537612915,0.8639332056045532,0.8394294381141663,0.9568513631820679,0.17785030603408813,0.8168240785598755,4.910311475396156,3.650929033756256,1.8758028745651245,4.704325273633003,0.31594622414559126,0.32926290296018124,100.0,100.0,100.0,1.0,6.960664933330918e-08,bi_glcm_morph_residual_silu_L12_d256_bn,0,v6,bi_glcm_morph,residual,silu,batchnorm,12,256,deep,0.001,1083,716,221.5
model,0.8146246075630188,0.9286550879478455,2.623879350721836,5.946288630366325,8.10292178933584,0.9478726983070374,0.8651866316795349,0.8595178127288818,0.9531307220458984,0.44162309169769287,0.8204050660133362,4.92292158305645,3.538106009364128,1.7924083396792412,4.826917126774788,0.3097542095929384,0.3531691851094365,100.0,100.0,100.0,1.0,6.790831008629539e-08,bi_glcm_morph_residual_silu_L16_d256_bn_lr0.0005,0,v6,bi_glcm_morph,residual,silu,batchnorm,16,256,deep,0.0005,1083,783,314.8
model,0.8213266730308533,0.9271740317344666,2.6662014424800873,5.996405705809593,7.995185173187513,0.9463918209075928,0.8574421405792236,0.8519455194473267,0.9543905854225159,0.5060375332832336,0.8117319345474243,4.93142157793045,3.640422224998474,1.900956965982914,4.857446998357773,0.3003480611369014,0.3666059812530875,100.0,100.0,100.0,1.0,6.968609511659452e-08,bi_glcm_morph_residual_silu_L20_d256_bn_lr0.0005,0,v6,bi_glcm_morph,residual,silu,batchnorm,20,256,deep,0.0005,1083,785,369.4
model,0.8088786005973816,0.9233026504516602,2.7264511212706566,6.135663017630577,7.311398442213816,0.942391574382782,0.8457862734794617,0.8496032357215881,0.9523248672485352,0.4293872117996216,0.8337638974189758,5.140719935297966,3.7306584417819977,1.8688881769776344,5.028263106942177,0.29651366639882326,0.29366740491241217,100.0,100.0,100.0,1.0,6.913229100291574e-08,bi_glcm_morph_plain_silu_L5_d2048_bn_lr0.0005,0,v6,bi_glcm_morph,plain,silu,batchnorm,5,2048,wide,0.0005,1083,873,132.1
model,0.8264610767364502,0.9260993003845215,2.784387953579426,6.014800444245338,8.65154358122365,0.9459972977638245,0.8536745309829712,0.8403271436691284,0.9545669555664062,0.5290514230728149,0.8351389765739441,5.05065955221653,3.917647898197174,2.059149742126465,4.99425083398819,0.29989639297127724,0.3847177838906646,100.0,100.0,100.0,1.0,6.873095514947636e-08,bi_glcm_morph_residual_silu_L10_d1024_bn_lr0.0005,0,v6,bi_glcm_morph,residual,silu,batchnorm,10,1024,deep+wide,0.0005,1083,720,236.9
model,0.8264955878257751,0.9318075776100159,2.5920813903212547,5.802828446030617,7.756966016126029,0.949313759803772,0.8642663955688477,0.8658984899520874,0.9574565887451172,0.48572593927383423,0.8362997770309448,4.818009212613106,3.545885905623436,1.8558472394943237,4.727748781442642,0.30349993612617254,0.3014941932633519,100.0,100.0,100.0,1.0,6.968191712530825e-08,bi_glcm_morph_residual_silu_L11_d1024_bn_lr0.0005,0,v6,bi_glcm_morph,residual,silu,batchnorm,11,1024,deep+wide,0.0005,1083,939,341.4
model,0.7727014422416687,0.9242710471153259,2.7532288804650307,6.165624037384987,8.525012800237054,0.944953978061676,0.861129641532898,0.8389736413955688,0.9521803259849548,0.21573573350906372,0.8232267498970032,5.160940811038017,3.655506670475006,1.9423570483922958,5.068778619170189,0.3092056140303612,0.3825763938948512,100.0,100.0,100.0,1.0,6.872672031477123e-08,bi_glcm_morph_residual_silu_L12_d1024_bn_lr0.0005,0,v6,bi_glcm_morph,residual,silu,batchnorm,12,1024,deep+wide,0.0005,1083,673,264.9
