model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,run_name,fold,stage,model_type,feature_set,n_features,elapsed_s,top10_features,mlp_winner_r2
model,0.6746601028982743,0.8612271576254795,3.3414723675445264,8.18189038276019,4.507597795455281,0.9099873068601475,0.7284434482731259,0.707257597569992,0.9010338899328141,0.027240631150383665,0.7739977436031278,6.084213750903646,4.531542679669131,2.230173125014072,6.637577504003097,0.23708624002607656,0.32824090565114217,100.0,100.0,100.0,1.0,1.2390674745232506e-16,extratrees_500_v5_glcm_lbp,0,v8,extratrees,v5_glcm_lbp,924,11.6,NDVI_mean_2020_summer; B03_min_2020_summer; GLCM_NDVI_homogeneity_2021_summer; TC_bright_mean_2020_spring; B03_min_2021_summer; NBR_q25_2020_summer; B05_min_2021_autumn; B03_min_2020_autumn; BSI_q75_2020_autumn; B08_min_2020_summer,0.7871481657028199
model,0.6748557079372156,0.8619522044992697,3.309903004650959,8.15978902499804,4.456493701638125,0.9096632343797529,0.7401196670606929,0.7104944010752713,0.8989552068818082,0.01405573624873091,0.7758460019769812,6.028365854892686,4.454651768717845,2.229119917140595,6.583487098211488,0.23830404025376126,0.32548934868942014,100.0,100.0,100.0,1.0,1.2469516791693739e-16,rf_500_v5_glcm_lbp,0,v8,rf,v5_glcm_lbp,924,35.1,B02_mean_2020_autumn; B08_min_2020_summer; B04_mean_2020_summer; B08_min_2021_summer; B03_q75_2020_autumn; B03_median_2020_autumn; B03_mean_2021_autumn; B08_min_2021_autumn; TC_wet_mean_2020_autumn; B03_mean_2020_autumn,0.7871481657028199
model,0.6799183453186558,0.8184029736713446,3.9050130662703055,9.166642095844697,4.159471158528127,0.8683982594605676,0.6701734433239924,0.701245924618576,0.852520104910935,0.26056455611093043,0.7266077834868849,7.419798388826158,4.883209198991632,2.218059144545574,8.333673661417553,0.21837362909086314,0.356964374750014,100.0,100.0,100.0,1.0,1.2092736747577897e-16,catboost_1000_v5_glcm_lbp,0,v8,catboost,v5_glcm_lbp,924,199.7,TC_wet_mean_2020_autumn; B03_min_2020_autumn; B04_mean_2021_summer; B03_min_2021_summer; B08_min_2021_autumn; B08_min_2020_summer; B02_std_2021_summer; TC_bright_mean_2021_autumn; B02_max_2021_summer; B8A_max_2020_spring,0.7871481657028199
model,0.6848774534997267,0.8677911463844151,3.220058872285126,7.9810733913744825,4.338230015176171,0.915047661951481,0.7489269649181838,0.7171862944412213,0.9034719404534663,0.025692352587300404,0.798939506646653,5.8194186503526435,4.343179840685199,2.1934835231301677,6.431923815624406,0.2372650240705101,0.29508237984781294,100.0,100.0,100.0,1.0,1.2691171615549327e-16,extratrees_500_third_v5_glcm_lbp,0,v8,extratrees,v5_glcm_lbp,924,94.8,B08_min_2021_summer; B08_min_2020_autumn; B03_min_2020_autumn; B08_min_2020_summer; TC_wet_mean_2020_autumn; B03_min_2021_autumn; B03_min_2021_summer; B12_q75_2020_autumn; B08_min_2020_spring; NDRE2_std_2020_autumn,0.7871481657028199
model,0.661846601638437,0.8550153216376443,3.3346909235101805,8.380436702898537,4.379236286465815,0.9044611599833756,0.7400680086626882,0.6963931024594938,0.8914846959581131,0.01500673811156894,0.7236659046553267,6.059431233085099,4.435170451829771,2.2727942566349713,6.656014319346378,0.23848300992677865,0.34625227023810473,100.0,100.0,100.0,1.0,1.2672848455612056e-16,rf_500_third_v5_glcm_lbp,0,v8,rf,v5_glcm_lbp,924,373.1,B02_mean_2020_autumn; B08_min_2021_summer; B02_mean_2021_summer; B08_min_2020_summer; B03_mean_2020_autumn; TC_wet_mean_2020_autumn; B03_min_2020_autumn; B08_min_2020_autumn; B03_mean_2021_autumn; B03_min_2021_summer,0.7871481657028199
model,0.6749250692299816,0.8618839136736561,3.3319065419590426,8.164284426817858,4.5075919046276836,0.9105244929896485,0.7320963291105405,0.7086615087942176,0.900817624781143,0.02351397785888565,0.7739364818453973,6.066432397680916,4.503204257499862,2.225597104753779,6.631118409944374,0.23733368406021207,0.32775339781509333,100.0,100.0,100.0,1.0,1.2648110023147823e-16,extratrees_1000_v5_glcm_lbp,0,v8,extratrees,v5_glcm_lbp,924,22.7,NDVI_mean_2020_summer; GLCM_NDVI_homogeneity_2021_summer; B03_min_2020_autumn; GLCM_NDVI_dissimilarity_2021_summer; B05_min_2021_autumn; B03_min_2020_summer; B03_min_2021_summer; B08_min_2020_summer; TC_wet_mean_2020_autumn; TC_wet_mean_2020_summer,0.7871481657028199
model,0.6652602549371441,0.8392192250348361,3.609675824480265,8.714961912294344,4.161125728681816,0.8873273667468805,0.7024211652675239,0.7000040617548473,0.876739833488842,0.05139863901000141,0.7736704633547143,6.813320829957189,4.6127082423898305,2.2019439328774473,7.465571808174344,0.23593304417598499,0.32857708930676954,100.0,100.0,100.0,1.0,1.223476970777071e-16,catboost_deeper_v5_glcm_lbp,0,v8,catboost,v5_glcm_lbp,924,1071.0,B03_min_2020_autumn; TC_wet_mean_2020_autumn; B03_min_2021_autumn; B02_max_2021_summer; B08_min_2020_summer; NDVI_range_2021_autumn; B08_min_2021_summer; B03_min_2020_summer; TC_wet_mean_2021_spring; B08_min_2021_autumn,0.7871481657028199
model,0.6553007169987596,0.8217419451771208,4.647831767668895,10.102757476448453,5.752451377043799,0.8723377323150366,0.5566436809035009,0.8108556870722292,0.9162457256066397,-0.006111237762729038,0.7818327138577329,7.41152869232353,8.079823391032512,6.350534215275718,5.337475798757992,0.13773637631347996,0.5698921323102148,100.0,100.0,100.0,1.0,1.2986920535541578e-16,extratrees_500_v5_glcm_lbp,1,v8,extratrees,v5_glcm_lbp,924,12.8,BSI_q75_2020_autumn; B03_min_2021_summer; NDVI_mean_2020_summer; NBR_q25_2021_autumn; GLCM_NDVI_homogeneity_2021_autumn; NBR_mean_2021_autumn; B03_min_2020_summer; B03_min_2021_autumn; B03_median_2020_autumn; NDMI_q25_2021_summer,0.7871481657028199
model,0.6641319921721831,0.823993115869375,4.583118541970221,9.99738520380582,5.738709735582486,0.8722569293988727,0.5819903181172059,0.8008868598722634,0.9205823644729583,-0.006128872191285106,0.8152043533629294,7.276550392893085,7.887076659913594,6.5256753359896305,5.155727808117545,0.13781705947279468,0.5158639954347543,100.0,100.0,100.0,1.0,1.2897236814017053e-16,rf_500_v5_glcm_lbp,1,v8,rf,v5_glcm_lbp,924,38.7,B02_max_2021_summer; B02_mean_2020_autumn; B04_mean_2021_autumn; B04_q75_2021_autumn; B02_q75_2021_summer; TC_green_mean_2020_autumn; B02_mean_2020_summer; B06_mean_2020_autumn; NBR_mean_2021_summer; B04_mean_2020_autumn,0.7871481657028199
model,0.6428383843969104,0.813289276887512,4.826190490542936,10.458238269892655,5.163171118533734,0.8381539076533373,0.5675117220684092,0.8322821767334967,0.8944208633130093,-0.0059546082758059615,0.7306162448888704,8.316965985007183,7.957919148897416,5.906825814706557,6.047472789213265,0.1379333055427823,0.5900258998904001,100.0,100.0,100.0,1.0,1.2625990704234372e-16,catboost_1000_v5_glcm_lbp,1,v8,catboost,v5_glcm_lbp,924,204.0,TC_wet_mean_2020_autumn; B04_q75_2021_summer; B03_min_2021_summer; TC_bright_mean_2021_autumn; TC_green_std_2021_summer; B02_max_2021_summer; B03_min_2020_autumn; B03_min_2020_summer; B06_mean_2021_autumn; NDVI_q75_2020_spring,0.7871481657028199
