model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,name,fold,stage,texture_combo,combo_size,n_features,n_texture_features,epochs,elapsed_s
model,0.8472285270690918,0.9250614643096924,2.7444785460829735,6.006092205643654,7.469806570226222,0.9416444897651672,0.8515370488166809,0.8418698310852051,0.9548422694206238,0.6557400226593018,0.8377221822738647,5.210774764418602,3.8280095905065536,1.8560651689767838,5.018702149391174,0.2727749990299344,0.280535314232111,100.0,100.0,100.0,1.0,6.886217818191653e-08,bi_GLCM_plain_silu_L5_d1024_bn,0,v9,GLCM,1,858,60,757,81.5
model,0.8439252972602844,0.93030846118927,2.6434922590851784,5.8238063007593155,7.775647286039972,0.9472393989562988,0.8601270914077759,0.8561664819717407,0.9575369954109192,0.5982656478881836,0.8441975116729736,4.9684077501297,3.6937426775693893,1.8979670479893684,4.74746897816658,0.27518109418451786,0.27819047681987286,100.0,100.0,100.0,1.0,6.933838392342295e-08,bi_LBP_plain_silu_L5_d1024_bn,0,v9,LBP,1,864,66,694,72.5
model,0.7998653054237366,0.929912269115448,2.5658318772912025,5.9151142835617065,7.385681726041319,0.9485616683959961,0.8638032078742981,0.855232298374176,0.9569990634918213,0.3362618088722229,0.838322639465332,4.871718212962151,3.5550743341445923,1.8202461302280426,4.6605706214904785,0.22116547916084528,0.26620680000633,100.0,100.0,100.0,1.0,7.072720364931229e-08,bi_MP_plain_silu_L5_d1024_bn,0,v9,MP,1,852,54,744,77.3
model,0.8191759586334229,0.9251232743263245,2.7256133034825325,6.055831536650658,8.284292377612486,0.9463232159614563,0.8520092368125916,0.8330352902412415,0.9539350867271423,0.4839739203453064,0.8457691669464111,4.959439113736153,3.760528564453125,2.070777304470539,4.914167523384094,0.3294804133474827,0.31927977688610554,100.0,100.0,100.0,1.0,6.821636588938418e-08,bi_HOG_plain_silu_L5_d1024_bn,0,v9,HOG,1,1002,204,642,66.5
model,0.7983588576316833,0.9248913526535034,2.7119146659970284,6.10148124396801,7.537086032287551,0.9453347325325012,0.8683857321739197,0.8311731815338135,0.9510459303855896,0.35678088665008545,0.837419331073761,5.1160987466573715,3.46171073615551,1.9672466441988945,5.193402990698814,0.25508624967187643,0.27793762274086475,100.0,100.0,100.0,1.0,6.840393496077013e-08,bi_Gabor_plain_silu_L5_d1024_bn,0,v9,Gabor,1,942,144,692,70.9
model,0.845245361328125,0.9340673089027405,2.595653384923935,5.69121427834034,7.867856237664809,0.9508082866668701,0.8700463771820068,0.8692498207092285,0.9585574865341187,0.5943741798400879,0.8284180164337158,4.878513887524605,3.5818614065647125,1.810293272137642,4.740680009126663,0.2580612897872925,0.3045069519430399,100.0,100.0,100.0,1.0,6.999048451916678e-08,bi_SV_plain_silu_L5_d1024_bn,0,v9,SV,1,840,42,693,72.3
model,0.8474231362342834,0.9292346835136414,2.657475881278515,5.850641056895256,7.663365692507056,0.9475085735321045,0.8550424575805664,0.8490368127822876,0.9572005271911621,0.6230073571205139,0.8527262210845947,5.002201348543167,3.741997852921486,1.925494335591793,4.772766679525375,0.2296601887792349,0.272740563377738,100.0,100.0,100.0,1.0,6.88071821741687e-08,bi_GLCM+LBP_plain_silu_L5_d1024_bn,0,v9,GLCM+LBP,2,924,126,716,73.8
model,0.8172934055328369,0.9295220375061035,2.6055514812469482,5.903348326683044,7.418103789879476,0.9457627534866333,0.8590380549430847,0.855660080909729,0.9587939381599426,0.44751226902008057,0.8369807004928589,4.951745644211769,3.65414060652256,1.8056539818644524,4.677360504865646,0.255020335316658,0.28940371703356504,100.0,100.0,100.0,1.0,6.87563712631345e-08,bi_GLCM+MP_plain_silu_L5_d1024_bn,0,v9,GLCM+MP,2,912,114,852,86.6
model,0.7724697589874268,0.9186325669288635,2.829061448574066,6.3428424298763275,8.10319730677967,0.9404110312461853,0.8543736338615417,0.8234445452690125,0.946769118309021,0.22204804420471191,0.8477612733840942,5.302555114030838,3.771349787712097,1.9681589677929878,5.320099741220474,0.29920663218945265,0.31298077665269375,100.0,100.0,100.0,1.0,6.949360198404975e-08,bi_GLCM+HOG_plain_silu_L5_d1024_bn,0,v9,GLCM+HOG,2,1062,264,643,65.2
model,0.8485890030860901,0.9304319620132446,2.644181437790394,5.8143604546785355,7.8951357298979215,0.9508954882621765,0.8713009357452393,0.8387280702590942,0.9546724557876587,0.6306735277175903,0.8452447652816772,4.788991808891296,3.5210389643907547,2.0383737981319427,4.933185502886772,0.30336296185851097,0.2801509341225028,100.0,100.0,100.0,1.0,6.88664059111943e-08,bi_GLCM+Gabor_plain_silu_L5_d1024_bn,0,v9,GLCM+Gabor,2,1002,204,683,80.8
model,0.777280867099762,0.9274846315383911,2.712862752377987,6.028151884675026,7.951274037545161,0.9494664669036865,0.8655914068222046,0.8445984125137329,0.9529663324356079,0.2056850790977478,0.84536212682724,4.897048696875572,3.6019980907440186,2.0119013264775276,5.052690207958221,0.4122345708310604,0.3012812230736017,100.0,100.0,100.0,1.0,6.86461660848181e-08,bi_GLCM+SV_plain_silu_L5_d1024_bn,0,v9,GLCM+SV,2,900,102,683,82.6
model,0.8301869034767151,0.9304143190383911,2.568490616977215,5.853962525725365,7.623035538864597,0.9491289258003235,0.857386589050293,0.8667935132980347,0.956375241279602,0.5305657386779785,0.8208543062210083,4.852229729294777,3.565753623843193,1.7516214400529861,4.706502333283424,0.22962880320847034,0.3052057698369026,100.0,100.0,100.0,1.0,6.868433644058314e-08,bi_LBP+MP_plain_silu_L5_d1024_bn,0,v9,LBP+MP,2,918,120,696,84.6
model,0.8183066844940186,0.9243709444999695,2.7721120044589043,6.0793086886405945,8.693256105067922,0.9453811645507812,0.8551591634750366,0.8294252157211304,0.9525471329689026,0.47479599714279175,0.8525260090827942,5.038494989275932,3.7822045385837555,2.1045949310064316,4.975531995296478,0.3548297332599759,0.37703397683799267,100.0,100.0,100.0,1.0,6.89044483692669e-08,bi_LBP+HOG_plain_silu_L5_d1024_bn,0,v9,LBP+HOG,2,1068,270,601,72.3
model,0.8565633893013,0.9297598600387573,2.6479991152882576,5.821837857365608,7.99701044545971,0.9499412775039673,0.8672024011611938,0.8477409482002258,0.9531535506248474,0.6835371255874634,0.8377895355224609,4.915646091103554,3.5486120730638504,1.9398270174860954,4.929840192198753,0.2400364726781845,0.31402597669512033,100.0,100.0,100.0,1.0,6.88156447381516e-08,bi_LBP+Gabor_plain_silu_L5_d1024_bn,0,v9,LBP+Gabor,2,1008,210,664,80.1
