texture_combo,combo_size,r2_mean,r2_std,mae_mean,n_feat,n_tex,folds
LBP,1,0.8081001341342926,0.05066443156700614,2.1601765416562557,864,66,2
MP+Gabor,2,0.8031335175037384,0.06930792141840607,2.1187772043049335,996,198,2
LBP+MP+Gabor,3,0.802643895149231,0.09213107208978286,2.1510332822799683,1062,264,2
GLCM+Gabor,2,0.8003884553909302,0.06816586826430637,2.1372810006141663,1002,204,2
LBP+Gabor,2,0.8000441193580627,0.07993031808915223,2.1528543904423714,1008,210,2
GLCM,1,0.7973581254482269,0.07052739833322028,2.205946948379278,858,60,2
GLCM+LBP,2,0.7958522439002991,0.07293225536240339,2.1691886708140373,924,126,2
LBP+MP+SV,3,0.7899113893508911,0.08972381269023463,2.1672457456588745,960,162,2
MP+Gabor+SV,3,0.7890412211418152,0.07461998376417363,2.1570930257439613,1038,240,2
GLCM+MP,2,0.7875204086303711,0.042105376011959315,2.1099912002682686,912,114,2
SV,1,0.7852822542190552,0.08480063931567709,2.1680294536054134,840,42,2
LBP+MP,2,0.7846505045890808,0.06439819288852351,2.116343379020691,918,120,2
HOG,1,0.7832429111003876,0.05081700315861558,2.2392899729311466,1002,204,2
GLCM+Gabor+SV,3,0.7822125256061554,0.08835357649829695,2.1320837549865246,1044,246,2
LBP+SV,2,0.7817643582820892,0.063550830499212,2.2148453630506992,906,108,2
LBP+Gabor+SV,3,0.7804481983184814,0.07214604805028116,2.1885447204113007,1050,252,2
MP+SV,2,0.7785131931304932,0.07346634022673343,2.163329254835844,894,96,2
MP+HOG+SV,3,0.777133584022522,0.06773925786367911,2.2694231010973454,1098,300,2
GLCM+MP+Gabor,3,0.7765955030918121,0.07806553077678773,2.1108396351337433,1056,258,2
GLCM+LBP+Gabor,3,0.7747584581375122,0.07888827940656888,2.1746335551142693,1068,270,2
LBP+MP+HOG,3,0.772222638130188,0.02736797178685202,2.2804166190326214,1122,324,2
GLCM+HOG+Gabor,3,0.7688762843608856,0.0867864723769649,2.2842745296657085,1206,408,2
GLCM+HOG+SV,3,0.7612828016281128,0.10487948223996403,2.264345157891512,1104,306,2
Gabor,1,0.7600027918815613,0.05424366838309679,2.183131594210863,942,144,2
MP+HOG,2,0.7588318586349487,0.03543825033971801,2.2063679061830044,1056,258,2
GLCM+LBP+SV,3,0.7552847564220428,0.08592692954843371,2.194445952773094,966,168,2
MP,1,0.7549791932106018,0.06347854865401581,2.1357163786888123,852,54,2
LBP+HOG,2,0.7545525133609772,0.0901620134742024,2.2620627656579018,1068,270,2
GLCM+MP+SV,3,0.754211813211441,0.08240438024359022,2.205653488636017,954,156,2
Gabor+SV,2,0.7533660531044006,0.06444539735885571,2.1722737699747086,984,186,2
GLCM+LBP+MP,3,0.7514639496803284,0.13407704872067397,2.196495234966278,978,180,2
GLCM+HOG,2,0.7475920617580414,0.03518237682240837,2.29215519502759,1062,264,2
MP+HOG+Gabor,3,0.7464223802089691,0.04505139857602229,2.2478878498077393,1200,402,2
HOG+Gabor+SV,3,0.7456098198890686,0.028740947523942902,2.3659651167690754,1188,390,2
GLCM+LBP+HOG,3,0.7389376759529114,0.03514693132281071,2.2481536492705345,1128,330,2
GLCM+SV,2,0.7372041344642639,0.056677058828721774,2.198820188641548,900,102,2
LBP+HOG+SV,3,0.7346912622451782,0.0875567903271985,2.304330002516508,1110,312,2
HOG+Gabor,2,0.7339184284210205,0.057071216155995655,2.280149795114994,1146,348,2
HOG+SV,2,0.7267999947071075,0.05863566502587153,2.369939908385277,1044,246,2
LBP+HOG+Gabor,3,0.7221039533615112,0.09823191270543179,2.315005101263523,1212,414,2
GLCM+MP+HOG,3,0.6791397035121918,0.06346737973916042,2.3393054492771626,1116,318,2
