model,r2_uniform,r2_weighted,mae_mean_pp,rmse_mean_pp,aitchison_mean,r2_tree_cover,r2_grassland,r2_cropland,r2_built_up,r2_bare_sparse,r2_water,mae_tree_cover_pp,mae_grassland_pp,mae_cropland_pp,mae_built_up_pp,mae_bare_sparse_pp,mae_water_pp,pct_valid_sum,pct_valid_range,pct_fully_valid,mean_sum,std_sum,run_name,model_type,feature_set,n_features,morans_i_mean,elapsed_s,top10_features
extratrees_500_feat_all_core,0.6748207843695057,0.8649382444939175,3.3392807530675563,8.088380992320738,4.520947703774923,0.9065767017699776,0.7336990354992219,0.7534496576412084,0.902958471152734,0.002366941934473177,0.749873898219376,6.237339246542129,4.489402740642066,2.0267464019115176,6.696771403295966,0.2392320679869605,0.3461926580267138,100.0,100.0,100.0,1.0,1.2644914441989404e-16,extratrees_500_feat_all_core,extratrees,all_core,2109,0.16146666666666668,20.8,NBR_q25_2020_summer; B12_median_2020_summer; NBR_median_2021_summer; B03_mean_2021_autumn; TC_wet_mean_2020_autumn; NBR_q25_2021_summer; B03_min_2021_summer; B03_min_2021_autumn; NBR_q25_2020_autumn; B03_min_2020_autumn
rf_500_feat_all_core,0.6837371550697077,0.872499758589376,3.2294781608448475,7.868381060403855,4.453275539654119,0.9118970975573796,0.7503935061330624,0.7720255270995355,0.9074484838730081,-0.000212575809053428,0.7608708915642741,6.014375698709696,4.365820409278368,1.9608220650859036,6.450878835613502,0.23956689723358482,0.3454050591480545,100.0,100.0,100.0,1.0,1.2647311203554191e-16,rf_500_feat_all_core,rf,all_core,2109,0.22928333333333337,55.7,B08_min_2020_autumn; B02_mean_2021_summer; B08_min_2020_summer; B03_median_2020_autumn; B08_min_2021_autumn; B03_median_2021_summer; B02_median_2020_autumn; B03_mean_2021_summer; B04_mean_2021_summer; B03_mean_2020_autumn
catboost_1000_feat_all_core,0.6712339920389128,0.815029313757713,3.9991377284548184,9.238501171077683,4.193827857575152,0.8541685441918,0.6628476424413094,0.7159988866521134,0.8553409231263222,0.19634835243088467,0.7426996033909976,7.859427479578651,4.936823430406224,2.1452031093491293,8.479943184255372,0.22310310771035727,0.3503260594291872,100.0,100.0,100.0,1.0,1.2145257929201783e-16,catboost_1000_feat_all_core,catboost,all_core,2109,0.14903333333333332,442.2,TC_wet_mean_2020_autumn; B02_max_2021_summer; B03_min_2020_autumn; B03_min_2021_autumn; B03_min_2020_summer; TC_bright_mean_2021_autumn; B08_min_2020_summer; lap_abs_mean_2021_summer; NDVI_q25_2021_summer; NDRE2_std_2020_summer
extratrees_500_third_feat_all_core,0.6924093163891497,0.8775516421370009,3.1351169353347066,7.707508888462278,4.288333084499984,0.9159748610523317,0.760902644509991,0.7698344764436448,0.9121766421751298,0.0032272960755398428,0.7923399780782169,5.819140162574513,4.263355227209169,1.9596528123967467,6.224300497527759,0.23917587504399238,0.30507703725602836,100.0,100.0,100.0,1.0,1.272773880028016e-16,extratrees_500_third_feat_all_core,extratrees,all_core,2109,0.23811666666666664,238.5,B08_min_2021_summer; B08_min_2020_summer; B08_min_2020_autumn; TC_wet_mean_2020_autumn; B03_min_2020_autumn; B03_mean_2021_autumn; B08_min_2021_autumn; lap_abs_mean_2021_summer; B03_min_2021_summer; B03_min_2021_autumn
rf_500_third_feat_all_core,0.6685209327866279,0.8631371428843567,3.269121394250068,8.15741089785357,4.358174588147824,0.9068286044923543,0.748134120075348,0.7554113049848414,0.8954411533281172,-0.001000515506142552,0.7063109293452108,6.020804563540556,4.369302774246408,2.025594392647584,6.602734448387521,0.23962614675772909,0.35666603992062085,100.0,100.0,100.0,1.0,1.2471137156432134e-16,rf_500_third_feat_all_core,rf,all_core,2109,0.3566,957.1,B02_mean_2020_autumn; B08_min_2021_summer; B02_mean_2021_summer; B08_min_2020_summer; B03_mean_2020_autumn; TC_wet_mean_2020_autumn; B03_mean_2021_autumn; B08_min_2020_autumn; B03_min_2020_autumn; B03_min_2021_summer
extratrees_1000_feat_all_core,0.6753132568062733,0.8656030242347733,3.3353700669982596,8.07089760569903,4.516496965591851,0.9069993375797708,0.7359938248668633,0.7553200774319647,0.9031832961516421,0.001920978104769877,0.7484620267025869,6.230758516960769,4.472006751560886,2.0236267548557403,6.699212334570769,0.23925064013976322,0.3473654039016405,100.0,100.0,100.0,1.0,1.261531694232632e-16,extratrees_1000_feat_all_core,extratrees,all_core,2109,0.1616,35.2,NBR_q25_2020_summer; B03_min_2020_autumn; B12_median_2020_summer; B03_min_2021_summer; B03_min_2021_autumn; B05_min_2021_summer; B12_mean_2020_summer; NBR_q25_2021_summer; NDWI_q75_2021_autumn; B11_q25_2020_autumn
catboost_deeper_feat_all_core,0.6621157394469329,0.8367793398811124,3.720457675590806,8.77879131434765,4.181079044091482,0.8760917543140089,0.6865456592035877,0.7388583482971587,0.8783006449618301,0.05051424007645855,0.7423837898285072,7.1930838192257625,4.804406988249059,2.08205885896731,7.653051545551852,0.23621778767831014,0.3539270538725732,100.0,100.0,100.0,1.0,1.2185951238782554e-16,catboost_deeper_feat_all_core,catboost,all_core,2109,0.18355000000000002,2327.8,TC_wet_mean_2020_autumn; B03_min_2020_autumn; B02_max_2021_summer; B08_min_2021_summer; B03_min_2021_autumn; TC_green_std_2021_summer; TC_bright_mean_2021_autumn; NDVI_range_2020_spring; B03_min_2021_summer; NDVI_range_2021_summer
extratrees_500_feat_bands_and_indices,0.675969391292068,0.8612418846817259,3.3454997044070205,8.178598003139095,4.498462858102247,0.9083575550211923,0.731014618672101,0.7241597975047803,0.8986158099681315,0.02792780205289025,0.7657407645332611,6.144319130683733,4.520247105378254,2.150025775230799,6.685167847219328,0.23674336852468214,0.33649499940530114,100.0,100.0,100.0,1.0,1.2432190113793306e-16,extratrees_500_feat_bands_and_indices,extratrees,bands_and_indices,798,0.27304999999999996,10.9,TC_wet_mean_2020_autumn; B03_min_2021_autumn; B08_min_2020_summer; NBR_q25_2021_autumn; NBR_mean_2020_summer; B03_min_2020_autumn; B08_min_2021_autumn; NDRE1_q25_2021_summer; NBR_q25_2020_summer; NDRE1_q25_2020_autumn
rf_500_feat_bands_and_indices,0.6747576983586839,0.8618931721541112,3.30732166293498,8.161242406552587,4.44279299713059,0.9103300393343392,0.7435286365650622,0.7210903886174254,0.8956108947641849,0.013357599194127268,0.7646286316769129,6.019134744203905,4.417113451470029,2.204093032912627,6.630098938375134,0.23829162442237187,0.33519818622581515,100.0,100.0,100.0,1.0,1.257440619560177e-16,rf_500_feat_bands_and_indices,rf,bands_and_indices,798,0.3261,32.2,TC_wet_mean_2020_autumn; B02_mean_2021_summer; B04_mean_2021_summer; B08_min_2021_summer; B08_min_2021_autumn; B08_min_2020_summer; TC_wet_mean_2020_summer; NDRE2_std_2020_summer; B02_mean_2020_autumn; B03_q75_2021_autumn
catboost_1000_feat_bands_and_indices,0.6572465790166254,0.8181410662528174,3.915845297685073,9.22185559673039,4.1407419954714015,0.862793265546467,0.6744828024385298,0.7010745049488827,0.8568181743396457,0.14084732400259492,0.7074634028235831,7.5712643928779935,4.871752469922723,2.2032601253091015,8.243092577634563,0.2307368344115789,0.3749653859544756,100.0,100.0,100.0,1.0,1.2250449497311505e-16,catboost_1000_feat_bands_and_indices,catboost,bands_and_indices,798,0.24584999999999999,181.0,B03_min_2020_autumn; TC_wet_mean_2020_autumn; B08_min_2021_summer; NDRE2_std_2020_autumn; B02_max_2021_summer; NDVI_range_2021_autumn; B12_median_2020_summer; TC_bright_mean_2021_autumn; B03_min_2021_autumn; TC_green_std_2021_summer
extratrees_500_third_feat_bands_and_indices,0.6857178244281471,0.8677521222120507,3.2209727647739466,7.9781003056871675,4.330812747271108,0.912915716690729,0.7481790019182255,0.7345686094647035,0.9021084513911524,0.021513942959140553,0.7950212241448792,5.894489614245844,4.338275745848126,2.1022506139134918,6.451000074270423,0.23740917428671068,0.3024113660790946,100.0,100.0,100.0,1.0,1.277132300366468e-16,extratrees_500_third_feat_bands_and_indices,extratrees,bands_and_indices,798,0.31389999999999996,71.8,B03_min_2020_autumn; B08_min_2021_summer; TC_wet_mean_2020_autumn; B08_min_2020_autumn; B08_min_2020_summer; B08_min_2021_autumn; B03_min_2021_autumn; B08_min_2020_spring; B02_mean_2020_autumn; NBR_mean_2020_summer
