model,threshold,n_stable,n_changed,false_change_rate_pct,missed_change_rate_pct,stability_mae_pp
MLP,0.01,10217,19729,20.4,1.36,0.376
MLP,0.02,11739,18207,22.97,2.2,0.561
MLP,0.03,12090,17856,21.84,3.99,0.624
MLP,0.05,13867,16079,24.04,6.46,0.832
MLP,0.1,17393,12553,24.43,12.5,1.213
MLP,0.15,20635,9311,22.76,15.54,1.489
MLP,0.2,22885,7061,19.74,17.83,1.691
Ridge,0.01,10217,19729,96.7,0.15,3.684
Ridge,0.02,11739,18207,94.52,0.32,3.942
Ridge,0.03,12090,17856,91.91,0.64,3.975
Ridge,0.05,13867,16079,86.73,1.41,4.19
Ridge,0.1,17393,12553,73.37,4.59,4.502
Ridge,0.15,20635,9311,62.23,8.08,4.746
Ridge,0.2,22885,7061,52.14,11.77,4.885
