model,class,r2,mae_pp,rmse_pp
MLP,tree_cover,0.9634388349839336,4.440611797443669,7.831681450118372
MLP,grassland,0.8439920286191095,3.8621901012100954,8.355263961962448
MLP,cropland,0.9160452108068844,2.370064514804654,7.668776426778426
MLP,built_up,0.9609007395776902,3.793105860902092,7.35821471420229
MLP,bare_sparse,0.40629032345038274,0.21672846132567247,1.7883471861056082
MLP,water,0.9098409534209193,0.27203290251484247,2.0546659662618776
LightGBM,tree_cover,0.96134443248117,4.8573571929094195,8.052876306087715
LightGBM,grassland,0.8328607909765466,4.416643414046117,8.648204512968606
LightGBM,cropland,0.8776127477845337,3.649689208742646,9.25915663633901
LightGBM,built_up,0.9526375940246435,4.365143095925618,8.09850888925384
LightGBM,bare_sparse,0.3413695816335933,0.29016920151021935,1.883586912599715
LightGBM,water,0.8936739709172425,0.3289286567589818,2.2312918001317494
Ridge,tree_cover,0.9220264511593397,8.423792613299094,11.437171986768258
Ridge,grassland,0.6911590613882895,6.825916965980072,11.755854759147692
Ridge,cropland,0.588480853574519,8.582249636895671,16.978462586601346
Ridge,built_up,0.8807932069357378,8.345629992250494,12.84809347104536
Ridge,bare_sparse,0.05301140277868377,0.5217802915206983,2.258588678613575
Ridge,water,0.7691197172881182,0.9884463492238071,3.2879862661089705
