model,noise_sigma,r2,mae_pp
MLP,0.0,0.8334160639364185,2.492450132250389
MLP,0.1,0.8334752947957368,2.5073444532717177
MLP,0.25,0.829574595189714,2.591614267585474
MLP,0.5,0.8113094511185698,2.908606021848609
MLP,1.0,0.7188076441352869,4.229580129571897
MLP,2.0,-0.05910779244350339,9.023407350082579
LightGBM,0.0,0.8099165196362902,2.9846551283154996
LightGBM,0.1,0.797335537850541,3.2077985219129337
LightGBM,0.25,0.7512536869848505,4.059430787740951
LightGBM,0.5,0.5873853476258143,6.724449889101384
LightGBM,1.0,-0.10583465272450086,13.205680945353404
LightGBM,2.0,-3.1614245517948887,22.130856881519666
